,A,AraC,FucR,ExuR,AllR
SRX5694268,0.9725399058,0.10152517450000001,0.2565724163,-0.2111139004,-0.0387096064
SRX5694269,2.0508286948,0.15033211770000002,0.16988297230000002,0.0249095764,-0.3030366422
SRX5694271,0.23880203630000002,-0.1803274704,-0.0987369412,0.1194465125,-0.47806562350000004
SRX5694273,-2.074672635,-1.8288081905,-1.5436092774999999,-1.4016684285,-1.3551356204
SRX5694274,3.0625182695,0.22855144970000002,-0.1575857976,0.0298397216,-0.39934708900000004
SRX5694275,0.360085939,-0.8022401761,-0.0163213575,-0.9816909248000001,-0.3494294636
SRX5694276,-2.2970549291999998,-2.2805752247,-2.4107183531,-0.5735998326,-1.0796268068
SRX5694277,1.3014998268,0.0202982129,-0.09173689160000001,0.2789149669,-0.11185164360000001
SRX5694278,-2.1210273409,-1.2008053293,-1.4721807784,-1.4295551132,-0.4076118554
SRX5694279,0.5556123997,-0.3571818625,-0.0686932117,0.14384898910000002,-0.034049628900000004
SRX5694280,-1.9442851709000002,-0.6501751828,-0.7261202132,-1.3295084130000001,0.1276409019
SRX5694281,1.6413693852,0.1508435405,0.1150641179,-0.3702565235,0.1528112383
SRX5694282,1.0005377663,-1.5397913056,-1.9030040079,0.5761006843,-0.0162617826
SRX5694283,-0.9454283471,-0.5370711389,-0.3173484683,-0.6664144331,-0.10441043800000001
SRX5694284,-2.4871348365,-1.1000234965,-0.7804268449,-0.6734589467000001,-0.4560443622
SRX5694285,0.5253993341000001,-0.3664867195,0.5473786306,-1.0687077079,-0.22413062220000002
SRX5694286,1.2399020566,-0.3481043541,0.2996721788,-0.9536559689,-0.160139255
SRX5694287,-0.8166463115,-0.1581575465,0.2464191705,-0.5733988213,0.4083106989
SRX5694288,0.9784538871,0.015530728,-0.5254449795,0.1051717385,-0.7489016961
SRX5694289,0.4062324183,-0.2186165052,0.071742151,-0.7970741759000001,-0.4213231371
SRX5694290,-0.1574636817,-0.3915765101,-0.206263667,0.0502514484,-0.915232232
SRX5694291,0.2643229669,-2.917187332,-3.9261246542,-1.7459065785,-2.7279370354
SRX5694292,1.3400445395,0.0594550374,-0.0607417581,-0.5107580230000001,-0.057584667000000006
SRX5694293,1.2985379889,-0.033249097400000004,-0.1650652588,0.153067229,-0.6647762188
SRX5694294,0.5544974983000001,0.1335443193,0.09472395480000001,-0.5458985619,0.028232628000000003
SRX5694295,-1.9780817439,-1.7349634304000001,-1.3280526794,-1.4996523508,0.4995593351
SRX5694296,0.6934069325000001,-0.1561905784,-0.2104333911,-0.1391639242,-0.28449319970000003
SRX5694297,0.1716290111,-1.5182521046000002,-0.7910705324,0.0420972772,-0.9808843525000001
SRX5694298,1.2633368244,-0.6039711865,-0.6294556490000001,-1.4585429895,0.0320222441
SRX5694299,0.4382273801,-0.0025322403,-0.1612780938,-0.4868061443,0.2183220311
SRX5694300,0.040885832500000004,-0.0869654738,0.0750650722,-0.5213339921,-0.5479012634
SRX5694301,1.672433463,0.17724194610000002,0.0642282633,-0.4366938058,0.11047317820000001
SRX5694302,1.3611550648000001,-0.2863924637,-0.5379114389,0.0028091802,-0.6708302757
SRX5694303,1.2107144381000001,-0.3026589756,-0.3313629655,-0.1136288835,-0.6306926879
SRX5694304,-0.37296750030000003,-0.0242572206,0.046308486600000004,-0.47946569170000003,-0.23686166500000003
SRX5694305,0.30565528810000003,-2.7023131283,-2.4991982544,-1.3154944943,-1.2450260683
SRX5694306,0.2460895338,0.2007596007,-0.0160525749,0.4189662263,-1.3637691657
SRX5694307,0.40680468470000003,-1.9028363004000002,-1.826143841,0.9520555235,-0.084744097
SRX5694308,0.8004599023000001,-0.9388676908,-0.8652469784,-0.4926960634,-0.6027764618
SRX5694309,-3.995220925,-2.8308638417000003,-2.5506037465,-0.9575395942,-1.9741984612
SRX5694310,-2.7849900776,-1.5784736799,-1.2041695487,-1.6600232291,0.2963179764
SRX5694311,-2.0236969129,-2.7822431581,-2.7404901729,-0.986843934,-1.5113820373
SRX5694312,1.6964783108,-0.2012264937,-0.6224012107,0.9111066793,-1.7835304058
SRX5694313,-1.1731832144,-0.8005493333,-0.8056614592,-0.7908185206,0.8114629842000001
SRX5694315,0.8893762362000001,0.1261257606,-0.2375582658,-0.2801357282,-0.2166869776
SRX5694317,0.15067481200000002,0.5425608445,0.7362172518,-0.29635296920000004,1.0176959565
SRX5694319,0.8230333515,-0.41727983550000003,-0.9093976805,0.0657669354,-0.8146839287000001
SRX5694320,0.38477224800000004,-2.7624742045,-3.4670189182,-2.0235557322,-2.7158033056
SRX5694321,-0.4279835353,-0.4154493281,-0.0712499453,-0.6528219197,-0.5615043935
SRX5694322,0.4630476828,-1.2979988719,-0.9418767586000001,1.2897309225,-0.3383650217
SRX5694323,-0.6181593784,-0.3633957761,0.0434868744,-0.5618496501,-0.1565614324
SRX5694324,-2.0257711289,-2.0657230627,-1.7455947931,-1.2319861158,-0.2233827955
SRX5694325,-2.2437029856,-1.3950714663000001,-1.1603615836,-0.8253657433,-0.4222232272
SRX5694326,-0.0600222719,-0.1715405253,0.0627132732,-0.6577045977,-0.2386956004
SRX5694327,-3.054223823,-1.4017871907,-1.1004398016999999,-1.4353880439,0.32927411500000003
SRX5694328,0.5302821904,-0.1286146481,-0.6506508685,0.015079865000000001,-0.53829621
SRX5694329,1.9443751127,-0.7130296072,-0.0596600841,-0.2774236494,-0.7568750394
SRX5694330,0.44631714910000003,0.1571639004,-0.39525329530000003,0.31447477430000004,-1.2163466103
SRX5694331,0.6268422595,-0.13198737,-0.15947218670000002,0.0634036378,-0.2866364791
SRX5694332,0.9918265064,-0.13781608110000002,0.0346002227,-0.1982942215,-0.40278844300000005
SRX5694334,-0.49328111480000003,-1.7032481123,-1.4496719482,-0.7175461752000001,-0.5834769337
SRX5694335,2.7018307252,-1.721894962,-1.2878564385,-0.9100146085,-0.31134724010000003
SRX5694336,-3.0853854682,-1.3826615343,-2.2654045798,-0.9517928883000001,-0.8034722816000001
SRX5694337,-1.9909103632,-0.703893039,-0.45137937440000003,-0.30224674290000003,-0.42107499540000004
SRX5694338,1.7593963018,0.1992798034,0.1901489205,-0.20138687430000002,-0.1287336124
SRX5694339,0.9917321813000001,-0.22328345770000002,-0.7140104942000001,0.0234399768,-0.8102577404
SRX5694340,0.8953446003000001,0.09700152020000001,-0.0092080003,-1.2688502547,-0.2025717686
SRX5694341,-2.8064605176,-2.3775751339,-2.542830913,-1.4444735096999999,-1.0190079994
SRX5694342,-0.7214248252000001,-1.6265203636,-0.8537343604000001,-0.11828986050000001,-0.9032628774
SRX5694343,4.073438932,-0.2470166073,-0.21622794550000002,0.1862843338,-0.4273807263
SRX5694344,0.0069100614000000005,-0.5304846896000001,-0.2946710755,-0.0463555161,-0.6295928002
SRX5694345,0.2695990068,-0.5827954015,-0.6166195681000001,-0.2200909972,-0.5616871719000001
SRX5694346,2.1947359007,-0.1144670554,-0.24548010180000002,-0.7121518474,0.1216240397
SRX5694347,0.088569566,-0.21027483530000002,-0.36549432130000004,-0.5384019404,-0.3442544979
SRX5694348,1.3954809386,0.2934146615,0.49562370720000004,-0.4349562682,0.36289858680000003
SRX5694349,2.1496238169,0.23798271910000002,0.0007376348,-0.8357734194,-0.152675806
SRX5694350,2.1539169721,-1.2065523427,-0.8648787405,-0.9857641534,-0.5629617497
SRX5694351,1.4542513503,-1.5952304348,-0.7976046006,0.5545272006,-0.258752833
SRX5694352,9.3582147966,-1.0235835175,-0.2062763058,-0.0250467885,-1.5141866189000002
SRX5694353,1.4988890216000001,-0.085204691,-0.0159916782,0.0055922957,-0.854911551
SRX5694354,3.5030278431,0.3840497986,0.1324738853,-0.6696416175000001,-0.3440455041
SRX5694356,1.2280437785,-0.1295775135,0.0195361717,0.1522236925,-0.7539153254000001
SRX5694357,-0.8179848384,-1.6791754697,-1.2067166755,-0.3800881901,-1.2923893342000001
SRX5694358,2.4962656765,-2.0555338134,-6.5202492065,-1.9392367261,-2.3647426099
SRX5694359,-0.7005315723000001,-0.478531134,-0.23147173310000002,-0.8670478081,-0.40777026050000004
SRX5694360,0.15672010690000002,-0.45791220650000003,-0.172949433,-0.5363116387,-0.3815197395
SRX5694361,1.4353026457,-1.4829716682,-0.8522913714,1.3053778206,-0.4375225186
SRX5694362,3.0172570124,0.3556386113,-0.5240743483,0.6536120767,-1.6142743249
SRX5694363,-0.9707179935,-0.22384842230000002,-0.4882192383,-0.3425504006,-0.5203947514
SRX5694364,-4.1958929632,-2.4794746343,-3.1585645625,-0.5814390663,-1.3242207821
SRX5694365,0.9714557565,-0.9369283614,-0.6263100971000001,1.0372447545,-1.3148248317
SRX5694366,0.5037136561000001,-0.5599795972,-0.7343892539,-0.08273781250000001,-1.0360995251
SRX5694367,-2.8249619166,-1.4137996747,-1.1199978111,-0.5706195449,-0.2584739011
SRX5694368,0.7381401311,-0.43034048340000003,-0.2504977868,-0.2663393693,-0.6875920337
SRX5694369,2.6573015061,0.11503343840000001,0.6507779587,-0.3596398335,-0.1760643856
SRX5694370,-0.2168923772,0.053061311400000005,-0.1066730532,-0.14080542100000001,-0.4533760779
SRX5694371,-2.4670748261,-2.4491983273,-2.4541774118,-1.2296119923,-1.8976434377
SRX5694372,0.586147732,-0.4476866981,-0.013392021,-0.9370814345,-0.36738552090000004
SRX5694373,2.5822352288,-1.2003500719,-0.4429493439,-1.0257419016,-0.3879422822
SRX5694374,-0.2504862961,-2.3563124448,-4.7937491656,-2.4380272447999998,-2.5587310338
SRX5694375,1.7248386337000001,0.24371076390000002,-0.0197446574,-0.5115295227000001,-0.053450767100000005
SRX5694376,3.0126372093,-0.3452426585,-0.6288421912000001,0.6483482805,-0.9277701211
SRX5694377,-0.6709296486,-2.2030800557,-3.3573843874,-2.2667369268,-2.4482660306
SRX5694378,0.3453082588,-0.7004456449,-0.5007471651000001,-0.613570542,-0.2639140352
SRX5694379,1.2044896535,0.1858603044,-0.4219858091,-1.386152711,-0.1763506632
SRX5694380,1.587753603,-0.49181259520000004,-0.202352374,-0.8622027764,0.1104625733
SRX5694381,-2.3221334602,-1.9535569744,-1.4598873726,-0.633205074,-0.8378271306
SRX5694382,1.8226668797,-0.1731089547,-0.5387289947,0.013672915400000001,-0.4430722951
SRX5694383,2.3563965136,0.159166821,0.0682349017,-0.8783795516,-0.0629956636
SRX5694384,0.1265839764,-0.3367642547,-0.33602492510000004,0.2148107913,-0.5138506066
SRX5694385,-1.7214421715000001,0.22265716730000001,0.21770690280000002,-0.2134144791,0.7902162930000001
SRX5694386,-1.3887839687,-2.5023493577,-3.0326856588,-1.7565700924,-1.3644038052
SRX5694387,0.174146393,-0.4580490052,-0.4909108519,-0.089713473,-0.9038686694
SRX5694388,-1.5443390426999999,-2.3114676682,-1.3954893527,-1.3632685399,-0.2000576513
SRX5694389,1.7854070732,0.1184889023,-0.008623530800000001,-1.1039632321,-0.23610086100000002
SRX5694390,1.5363642437,0.0506089214,-0.0138454096,-0.6049493809,0.010543391000000001
SRX5694391,0.9192500910000001,0.547078813,0.7366788745,-0.16950694,0.8676832805
SRX5694392,0.8633058554,0.10745230300000001,0.31182787770000003,-1.2086895685,0.1476171064
SRX5694393,0.5309408210000001,-0.0820446715,-0.1891591733,0.1894631185,-0.4422931648
SRX5694394,1.3661809602,0.1456218145,0.1514795367,0.0427976293,-0.0602761745
SRX5694395,-0.3269134902,-0.2364175909,-0.5801321492,-0.22534387320000002,-0.6547193586000001
SRX5694396,1.0605967334,-1.2044199757,-0.7622204611000001,0.7773425153,-0.3251957722
SRX5694397,0.1841600998,-0.25034797610000004,-0.0723689893,-0.8630545309000001,-0.18130374570000002
SRX5694398,1.0459243104,-0.0002104681,-0.097433187,-0.7072258832,0.0856004753
SRX5694399,0.5348233956,0.10630507380000001,-0.10944226130000001,-0.5050046530000001,0.0942102137
SRX5694400,0.0911959353,-0.5718228188,0.15301897650000001,-1.0291551578,-0.3430143739
SRX5694401,3.1003719411,0.5127082117,0.1955944316,-0.1163206041,-0.0636880984
SRX5694402,-2.1376133386,-2.2511362472,-2.4901481595,-1.9091849632,-1.1867881991
SRX5694403,-1.7512149262999999,-0.846418921,-0.5416941898000001,-0.9767006534,-0.5498063154
SRX5694404,1.3579163615,-0.1488605466,0.2750967676,-0.5046258714,-0.1112907639
SRX5694405,2.4408421962,-0.0948878242,-0.24395988840000002,0.0914397067,-0.38237986160000004
SRX5694406,-1.5212405032,-0.3933031924,-0.266683343,-0.43001333070000003,0.0360186079
SRX5694407,-0.9932035153000001,-0.31233717440000003,0.11141898700000001,-0.5755428131,-0.6763368656000001
SRX5694408,0.5287047845,0.0192734069,0.0562194654,-0.5280181706,-0.3755846614
SRX5694409,-1.3928033402,-1.8937014814,-1.8158826019,-0.5939476255,-0.6204073496
SRX5694410,2.4025724126,0.027877258000000002,-0.2622709994,0.6576976406,-1.4781331712
SRX5694411,1.0308154782,-1.4659348838000001,-0.7126642438,0.6418150696,0.4801866011
SRX5694412,0.6056967156,0.0464597208,-0.2322465351,-1.1003152,-0.6105053617
SRX5694413,4.9889128691,-0.2193500411,0.1137341345,0.0106612153,-0.7720217744000001
SRX5694414,-2.3623462801,-1.7989543935,-1.5256963901,-0.7094216856000001,-0.7956087105
SRX5694415,1.9069730332,0.028409734500000002,0.0055869455,-0.6050220865,-0.2748602404
SRX5694416,0.41312467080000004,0.0862150357,0.1188843004,-0.028092585700000002,-0.0405720311
SRX5694417,0.7662071557,-0.0482564853,-0.2864715192,0.0297882057,-0.49062053640000003
SRX5694418,-4.2126357763,-3.1616010523,-2.4677320775,-1.4117829219,-1.0335738451
SRX5694419,-3.4775811806,-1.0567656231,-1.9235805915,-0.8810763912,-0.7832434131
SRX5694420,-0.9516964662,0.0963046246,0.026243043,-0.3297647145,-0.0746933768
SRX5694421,0.057896036000000005,-0.5213645469,-0.5440243458,-0.8170687133000001,-0.4588774747
SRX5694422,0.42460306680000004,0.0079538935,-0.43794873500000003,-0.3302267854,-0.041532617800000005
SRX5694423,-1.8561532626,-0.9689951137,-0.45090659780000003,-0.424628961,-0.6922937171
SRX5694424,-0.8487121040000001,-0.6268000924,-0.5458780922,-0.6125177773,-0.2189532532
SRX5694425,2.0134422493,0.0478843517,-0.14134071,-0.11361248830000001,-0.1258677379
SRX5694426,-0.517598972,-0.6588624331,-0.6230718732,-0.3653834421,-0.4498728748
SRX5694427,1.3248840589,0.3566369728,0.3445670769,-0.30542260660000004,-0.096505085
SRX5694428,3.6400443219,0.49874949760000004,0.24710767220000002,-0.2269297837,-0.0219310728
SRX5694429,1.7208469122,-1.9091636338,-1.3406005488,0.4061662452,0.25918827850000004
SRX5694430,1.4170184443,0.1329814272,-0.1563873492,-0.1700436544,0.0401584709
SRX5694431,0.22488991860000002,-0.1460945491,-0.46490564160000003,0.09150561460000001,-0.2337677527
SRX5694432,0.6479724953,-0.7929200398,-0.2138248168,-0.5977281515,-0.4687069608
SRX5694433,4.5588705426,-0.0367228703,0.7082206510000001,-0.116483367,-0.21292980320000002
SRX5694434,2.1780648655,-1.3738266623,-0.8803168467,-0.8521106092,-0.2785611071
SRX5694435,-2.8412294261,-2.4943252357,-2.4473845836,-1.3874571195,-1.5956196738
SRX5694436,-1.4976843261,-2.3117116591,-2.1056305092,-0.865987177,-0.8150583931000001
SRX5694437,-3.1568627534,-1.0753145103,-0.5810432234,-0.5453996399000001,0.5263894333
SRX5694438,2.3960905749,0.2321140753,0.08427787140000001,-0.49915293850000003,-0.3146656879
SRX5694439,-0.5942074664,-1.4672421729,-3.2289901101,-1.434700237,-2.0192330439
SRX5694440,0.7829400969,-0.2938235313,-0.19121591910000002,0.1229339505,-0.6694704109
SRX5694441,1.6454315532,-0.7053492636,-0.1554872905,-0.2417831919,-0.6186866864
SRX5694442,-2.1501721299,-2.3207841034,-1.8033535854,-1.3467299336,-0.32555767290000004
SRX5694443,1.6099843535,-0.18087413800000002,0.2647609889,-0.0390572671,-0.5170712471
SRX5694444,2.0006979166,-0.3075709452,0.0261343222,-0.8872980298,-0.20768051710000002
SRX5694445,-3.6217566848000002,-2.3794165591,-1.9991673249000002,-1.2342971287,-0.6958339112
SRX5694446,1.1827170048,-0.0529254267,-0.2344358353,0.10949974330000001,-0.7119680994
SRX5694447,1.2156986392,-0.37905063180000004,-0.43054336,-1.5900812316000001,-0.2456201173
SRX5694448,1.8241196168,-0.25123992170000004,0.0351788081,0.4892874531,-1.1261482927
SRX5694449,1.1746455317,0.1577350137,-0.0584265904,-0.3219435701,-0.1209971131
SRX5694450,3.2529057058,-0.45317072690000004,-0.2924513956,0.1001551898,-1.6115651082
SRX5694451,1.4763831549,-0.1598881891,-0.3899713614,-0.10815310310000001,-0.27537423980000003
SRX5694452,0.9694007834,-1.7919070750000001,-1.0046343377,0.5616265689000001,-0.4997191818
SRX5694453,3.4437023488,-0.1743729558,-0.22005565100000002,0.3803712634,-1.0328787264
SRX5694454,0.4005846906,-0.3095258459,-0.27820931,0.28541168310000004,-0.6584317929
SRX5694455,-3.2418695795,-1.4946339096,-1.8732378763000002,-0.8846975715000001,-1.0333771387
SRX5694456,1.498456394,-0.2254973194,-0.3688873246,0.0676575866,-0.3953584542
SRX5694457,0.148271649,-0.1795804268,-0.6692839586,0.21243885610000002,-0.4836944054
SRX5694459,-0.1761195518,-0.5225126395,-0.6268289810000001,0.3417508292,-0.6123185547000001
SRX5694460,-1.5489524434000002,-2.5631822833999998,-2.1764360645,-0.7668049863,-1.6558232057
SRX5694461,0.7996960452,-0.42122853520000003,0.1467971164,-1.0332936155,-0.29506933560000004
SRX5694462,-2.5908323403,-1.3897364516000001,-1.7077438817,-1.5519939549,-0.3382888478
SRX5694463,2.2218609787,0.056781849200000005,0.1434272747,-0.2058033478,-0.0389981635
SRX5694464,0.6346386356,-0.2637180717,0.19633796820000002,-0.8226883138000001,-0.2455455184
SRX5694465,0.9715526549000001,-0.4223037525,0.0809583781,-0.6005995204,-0.4634065834
SRX5694466,-4.0585372958,-0.4111707079,-1.2412481206,-0.0853426942,0.27265947960000003
SRX5694467,-0.38621997290000004,-0.212061034,-0.0078047322,0.0661518554,-0.3523158806
SRX5694468,0.6325034392000001,-2.6425716662000003,-3.3946629387,-1.8676310172,-2.8346830999
SRX5694469,2.6648846005999998,-0.24898550600000002,-0.5771937873,-0.21733396200000002,-0.3343273403
SRX5694470,0.0602721966,-0.07763572490000001,-0.2572449882,-0.0230278743,0.086836389
SRX5694471,0.7765215691,-0.3616591693,0.0536413996,-0.23787709440000002,-0.3941185149
SRX5694472,-1.128665891,-0.5528680677,-0.2161561226,-0.40287645310000003,-0.7081559589
SRX5694474,0.6923969995,-0.0968574704,-0.1626446778,-0.5872724380000001,-0.085377111
SRX5694475,1.2594067558,-0.3291896603,0.37025192960000003,-0.2336843508,-0.3582828437
SRX5694476,2.2320586747,0.1218496854,-0.09131385830000001,0.0185443049,-0.35534123710000004
SRX5694477,-1.1020909186,-2.0570174684,-1.8258306767999999,-1.3310344629,-1.6598311002
SRX5694478,1.0617130798,0.18326674010000002,0.3536838037,-1.446177746,-0.0089307342
SRX5694479,2.8145935811,-1.9974102369,-1.667013816,-1.2563103661000001,-0.7800052434
SRX5694480,3.1871181378,-0.5054954175,-0.0882247361,-0.503661482,-0.3151921438
SRX5694481,1.3068828995000001,-0.43450699410000004,-0.11425451800000001,-1.4330644624,-0.20993980650000002
SRX5694482,1.1592473138,-0.13206198160000002,-0.23273328640000002,0.038029649900000004,-0.6239447715
SRX5694483,1.5958635768,-0.10932797400000001,0.1639753663,-0.6114856227000001,-0.085888669
SRX5694484,1.0019001251,-0.3673388677,0.1568482749,-1.0727465231,-0.4174134483
SRX5694485,1.0900442732,0.7465268941000001,0.8137806145,-0.0453883054,0.8078010629
SRX5694486,1.4768862065000001,-0.1076671946,-0.4647667985,0.22393988750000002,-0.6645766478
SRX5694487,2.0830005915,-0.2244082628,0.36376507210000003,-0.6900902085,0.09942097450000001
SRX5694488,0.7105809777000001,0.0378985681,-0.034805484500000004,-0.6616052761,-0.0819013108
SRX5694489,-0.4423506003,-0.0838353275,-0.3078161041,-0.15559807380000001,-0.5762024729
SRX5694491,-1.6476052284,-1.3785861158000001,-1.4041400876,-1.2293421035,-1.2383887484
SRX5694492,-2.0214958528,-2.1439553285,-2.2441635911,-0.5236198245,-1.1677091643
SRX5694493,0.4026764578,-1.7176139944000002,-1.2391455015,0.38825644810000004,0.0032494200000000003
SRX5694494,-1.5736479273000001,-0.7038560519,-0.4430386927,-0.504137627,-0.2287265362
SRX5694495,-0.1955192296,-0.2750303032,0.0282790264,-0.0512727547,-0.3867882709
SRX5694496,0.0778179926,-0.3022286233,-0.1933724587,-0.0610135055,-0.5967110593
SRX5694497,-0.45334977260000003,-0.5910745067000001,-0.6199522197,-0.8134662245000001,-0.1565068259
SRX5694498,0.4225048823,-0.3012074275,0.2603448641,-0.5258499809,-0.1152072012
SRX5694499,0.5889509717,0.3710022224,-0.4270494215,0.8039336208000001,-2.0786376999
SRX5694500,-0.8375305182,-0.4588786078,-0.2714533344,-1.4084718486,-0.0713916493
SRX5694501,0.5199607684,-0.5555293678000001,0.45134934060000004,-1.1016975532,-0.1499834042
SRX5694502,-1.8166516061,-0.2255390982,-0.44277378230000003,0.4046922174,-1.6505345280000001
SRX5694503,-2.2087015115,-1.3047117525,-1.2697514125,-0.7260724299,-1.2581696036
SRX5694504,0.9451525728,-0.2048207501,-0.2702399442,0.1782368981,-0.5798279458
SRX5694505,-2.6165633498,-3.1010898568,-2.7742400295,-0.9115135466000001,-1.7742852543
SRX5694506,1.5693320821999999,-0.056900738400000005,-0.1297179025,0.09921850480000001,-1.3537549816
SRX5694507,0.12955141350000002,-0.4112242366,-0.3598987966,-0.0398834276,-0.7233904767
SRX5694508,2.4378934513,-0.2665941099,-0.1722305837,0.13885757740000002,-0.474987702
SRX5694509,-0.8082899714,-0.47617261260000004,-0.0688952873,-0.4231859488,-0.36819308040000004
SRX5694510,1.9104672643,-0.2630940167,-0.043113570600000005,-0.5000171875,-0.4233250669
SRX5694511,1.7586771841000002,-0.279368693,-0.26686570600000004,-0.3905764304,0.0324351952
SRX5694512,-2.084901572,-1.6023567415,-1.2897872259,-1.4723446635,-1.3132605613
SRX5694513,3.464898839,-0.7298957134,-0.4287891918,-0.5528306041000001,-0.357898729
SRX5694514,-1.2639832001,-2.4867481237,-2.4333179462,-1.1887415439,-1.6125850422
SRX5694515,-2.050626314,0.4021689513,1.0509672427,-0.1113821354,1.2223967291
SRX5694516,0.6024992179,-0.6992999798,-2.9291228886000003,-1.1960267594,-1.9639897984
SRX5694517,0.7780656574,-0.4109316254,0.0162816796,-0.3131824935,-0.59603229
SRX5694518,1.3379023232,-0.13881554910000002,0.38890268110000004,-0.43050246670000003,-0.3473082892
SRX5694519,-1.5021759811000002,-0.2052562632,-0.392346248,-0.5934754071,0.2195080271
SRX5694520,3.1727926224,0.0979390597,0.4735383039,0.7728889057,-1.3434634362
SRX5694521,1.7814366352,-0.022097971,0.0034377346000000002,-0.2320497866,-0.44444111340000003
SRX5694522,1.2543620887,-0.0817643834,-0.0133052716,-0.3341096054,0.0108738156
SRX5694523,1.0353362014,0.1955236081,-0.2253639202,-0.7286734093,-0.5282316380000001
SRX5694524,-0.344735493,-0.1708997647,-0.3928074123,-0.3024973815,-0.3751103376
SRX5694525,0.6097618778,-0.027947055800000002,-0.5286072094,-0.21235840120000002,-0.5657864187
SRX5694526,10.0209517712,-1.1418768114,-0.043699352500000004,-0.5989751777,-1.3629264037
SRX5694527,-1.7790060536,-0.6609093103,-0.3984318195,-1.6130959832,0.1008530702
SRX5694528,1.2714915085,-2.4952396923,-1.4510231809,-1.1988705949,-0.8865176025
SRX5694529,3.0127595691,0.41787943400000005,0.354608782,-0.2601704318,-0.1364984341
SRX5694530,3.6020426636,0.0200884164,-0.021712400700000002,0.5876918306000001,-1.6006594627
SRX5694532,-1.5968190302,-0.8869361229,-0.2180385588,-0.8830834609,-0.574605059
