,A,MarA,Rob,SoxS
SRX5694284,-0.18125033540000002,0.3320383937,-0.1151209799,1.3541792284
SRX5694285,-0.2109617544,-0.5335320818,0.40344198400000003,0.9283405807
SRX5694286,1.7549327283,0.3572890023,-0.1415561146,0.8976539871
SRX5694287,2.4348504165,1.1375825754,0.4880892321,1.2434253468
SRX5694288,0.1289288587,0.4032004564,0.1503474675,0.7146807885
SRX5694289,-1.2464209874,0.4280255911,-0.4031885738,1.1823105204
SRX5694290,0.678246597,0.9277862834,0.1442708906,0.9730154314
SRX5694291,-3.3167305907999998,0.4834436144,-1.6563570468000002,1.5566207699999999
SRX5694292,-0.0470784062,0.3357229176,0.220704231,0.3450223448
SRX5694293,1.0211522708,0.0508325872,0.3978925078,-0.050826596
SRX5694294,-1.5771609547,-0.12419864280000001,-0.1934036144,0.0318629843
SRX5694295,-2.4631147699,1.2423139035,-0.6013639230000001,0.7380234284
SRX5694296,-0.8392424419000001,0.2018037158,-0.0373969602,1.5385225167
SRX5694297,-1.7779498362,1.4952107841,-0.2162357289,1.3036011208
SRX5694298,0.7592886990000001,0.6867220955000001,0.4550513427,0.6407163448000001
SRX5694299,-0.6308706687,0.1973739836,-0.183590574,-0.5095648894
SRX5694300,0.1117620367,0.2646831744,-0.7403110382,0.0156508655
SRX5694301,-0.6637548572,-0.245652155,0.302465415,0.24989832280000002
SRX5694302,-0.027007403500000002,0.2750863127,0.29163518310000003,1.2273820129
SRX5694303,-0.0986094107,0.36249123600000005,0.1890702864,1.4372215392
SRX5694304,-0.3696299322,0.2651607608,-0.4123853937,1.065932288
SRX5694305,2.7526857475,2.4051835891,-1.5565473043,-0.2377438483
SRX5694306,-2.2579468143,-1.4955276921,1.9324716034,0.8077195082
SRX5694307,1.1766923583,4.8865571558,0.5138794624,6.076531362
SRX5694308,0.2958791623,0.34056868230000004,-0.19078971660000002,-0.7362252654
SRX5694309,1.7265687487,1.45091096,-1.376855021,-0.47351419790000004
SRX5694310,-0.8864423665000001,0.7345679111000001,-0.7616635513000001,3.4111127852
SRX5694311,1.5295488342999999,2.530974159,-0.8525082251,-0.9836647594000001
SRX5694312,-0.4786612275,-1.0342815311,1.7714244626000002,2.2576606131
SRX5694313,-3.9644265325,0.7495938296,-0.47015787400000003,1.449711555
SRX5694315,1.7226331561000001,-0.1927712967,-0.168131994,-0.2950483209
SRX5694317,0.47202834860000004,1.597312011,0.5911527551,1.237510974
SRX5694319,-0.192666481,0.514183034,0.19238282140000001,0.8955530141
SRX5694320,-3.6903297117,0.4974326597,-1.9917172030999999,0.7626379369
SRX5694321,-0.182029676,1.3600735907,-0.5381080291,2.4225481195
SRX5694322,-1.9654396797,1.4085650238,2.6198603558,5.3573444331
SRX5694323,0.19716943280000002,1.4134331884,-0.5960617162,2.6902108628
SRX5694324,4.2099956645,2.6357924198,-0.9188509686,1.8289582152000001
SRX5694325,-0.7443812868,1.3142201141,-0.5890846808,3.1235731436
SRX5694326,0.0018231443000000002,0.030409181,-0.3561867971,2.1516538716
SRX5694327,-1.5104817805000001,0.5215810031,-0.48146718510000003,3.0466960426
SRX5694328,-0.0348007721,0.43182293590000004,0.1432780988,0.7131690473000001
SRX5694329,-2.5743751479,0.9090942609,-0.6850210856000001,2.8746674155000003
SRX5694330,0.7988902182000001,-1.7818584641,1.5358695531,2.0312393836
SRX5694331,0.6451944783,0.47099929170000004,0.3641477073,0.45590613420000003
SRX5694332,0.0217705937,0.9124325542,-0.4661197413,0.3139783389
SRX5694334,0.5722118131,-0.1584076252,-0.1326138067,-0.8833521546
SRX5694335,-1.9363422956,1.4936501342000001,-0.9343427670000001,0.3982990232
SRX5694336,2.0040875822,0.22689700980000002,-1.1085299459,0.8356393537
SRX5694337,-0.7101568827,0.6412401592,-0.6603604509000001,2.6195844514
SRX5694338,0.8231944159,0.007236593,0.2508349693,-0.7866102273000001
SRX5694339,-0.21275794420000002,0.300449713,0.0400469386,0.6948530473
SRX5694340,-0.5132407123,-0.4315380239,-0.1685053504,1.639153671
SRX5694341,1.5966072929,3.8119366157,-0.7655670318000001,2.0229584143
SRX5694342,-3.0099561497,0.8717007803,-0.0191118939,0.8045780956
SRX5694343,-1.4403961472,1.1982177093,-0.3678963081,0.5349222609000001
SRX5694344,-1.3384976778,0.7749282921,-0.3942422557,2.4387786317
SRX5694345,-1.0992261047,0.0034858650000000003,-0.0224939264,1.5561605637
SRX5694346,-1.7140984401,0.9858351493,-0.7183124976,0.7036989145
SRX5694347,-1.1380871065,0.0665871225,-0.1686284629,0.9212912854
SRX5694348,1.1581746925,1.1477337822,0.2302221727,0.0946069199
SRX5694349,1.5443177975,-0.3461513992,0.0431246006,-0.46803699590000003
SRX5694350,1.3598440448,1.2466240868,-1.6682662123,-1.3519473942
SRX5694351,-0.6484201895,3.3987190373000002,-0.035986644000000005,5.1230277885
SRX5694352,1.6622867453999999,0.5471766611000001,0.3081020451,1.6370781129
SRX5694353,0.6344363882,0.5505382713,0.11510711280000001,1.2203692497
SRX5694354,2.0152201107,0.1429190504,0.0759982461,-0.2724926048
SRX5694356,0.304623556,0.6584495509,0.1307577648,1.7273573944
SRX5694357,-1.1432809949,0.677454079,-0.26009811250000003,0.6064475824000001
SRX5694358,-3.4849146855,1.4492759168,-1.8069944026,0.5525002298
SRX5694359,0.9305466936000001,0.508759961,0.2087824836,1.269346712
SRX5694360,2.4062773287,0.12470963880000001,-0.2502057129,0.3913653036
SRX5694361,-0.11730438030000001,-0.5084285654,2.5785616442,5.6842790837
SRX5694362,0.47302743550000004,-2.6239813533,1.3077593507,1.8018477322000002
SRX5694363,3.4339611621,2.6486440663,-1.3178616977,3.1506350436
SRX5694364,2.0252615947,1.2655193957,-1.4422739048,0.3418361009
SRX5694365,5.4957853819,2.3875252033,2.1573551995,0.5964407288
SRX5694366,-0.029791718000000002,0.7939047679,0.1356164839,0.7124388884
SRX5694367,-0.0967447535,1.7230228513,-0.7103837023,3.6947519133
SRX5694368,0.0743965463,0.33422538630000004,-0.1688251372,1.702493687
SRX5694369,1.1083540185,-0.38702584970000004,0.2606221224,-0.4862923779
SRX5694370,1.8830940726,0.3429622297,-0.1750687483,0.9375988888000001
SRX5694371,2.3619443956,1.4203790292,-1.3189573371,-0.2795341666
SRX5694372,1.1547818168,0.35032509300000003,0.0079521554,1.0696065176
SRX5694373,-0.6677905614,1.1669412475,-1.3544716776,-0.8301435057000001
SRX5694374,-2.2256373823,0.7383879267,-1.9947520215,-0.2046681243
SRX5694375,-0.8292437863000001,-0.3019074078,0.057069561500000004,0.0307377076
SRX5694376,0.8057216692,0.3552542281,1.8541728313,0.43199740080000004
SRX5694377,-3.8815179112,0.0711092295,-2.0714817617,0.0347717196
SRX5694378,2.324374845,-0.6822313223,0.1010422965,0.2165458126
SRX5694379,-0.5538374834,-0.8486673142000001,-0.4438313726,1.2036794492
SRX5694380,-2.1180898021,0.9659415227,-0.8311000992,0.5368653591
SRX5694381,-0.11245742930000001,1.5087796035999999,-0.1147096833,2.0190070715
SRX5694382,-0.3985833828,0.8770571359,-0.1788758631,0.9307925680000001
SRX5694383,-1.2640184774,-0.9320496652,-0.0196584235,-0.38115009780000003
SRX5694384,0.264778093,0.386345374,0.43085847850000003,0.3107878253
SRX5694385,4.9101789984,3.2536404446000002,0.5158967902,2.4859592259
SRX5694386,2.9657863307000003,2.6972381942,-0.8175720372,-2.3257506742
SRX5694387,-0.0273033677,0.8100351753,0.0991916748,0.7345259588
SRX5694388,4.1168255379,2.8851663362,-0.9787213720000001,1.7553984512
SRX5694389,-1.219489454,-0.8610351029000001,-0.212183101,1.4970730893
SRX5694390,-0.6430986093000001,-0.2079048944,-0.0191353644,0.2367470569
SRX5694391,1.6959011078000001,3.2324890462,0.8952137040000001,0.3746390458
SRX5694392,-0.7572996459,-0.7455944375,-0.2657298906,1.065704794
SRX5694393,0.309033484,0.5434896911,0.3578711135,0.4809907578
SRX5694394,-0.0868774623,-0.09829250540000001,0.3868253379,-0.1762924394
SRX5694395,3.7049185898,2.6188420888,-1.420960502,3.1620015721
SRX5694396,-0.9371632853,3.428838244,-0.0617822009,5.5208856975
SRX5694397,0.9530429763,0.1386459173,-0.3491289014,-0.47413773280000004
SRX5694398,0.8661153721,0.5029858497,-0.0327206658,-0.169423654
SRX5694399,-1.7339213934000002,-0.1813998402,-0.1459652964,0.9368940404
SRX5694400,1.3174728496,0.26575269090000003,-0.16375419800000002,0.3110678807
SRX5694401,1.5297885074000002,-0.5639855636000001,0.268388858,0.0206284734
SRX5694402,2.8076866107000003,2.6472397602,-0.8108309672,-2.2672507801
SRX5694403,-2.3081411605,0.6815148932,-0.8126774843,1.831682779
SRX5694404,-0.3819306391,0.47224337650000003,0.1834108009,-0.46899111050000003
SRX5694405,0.4343712227,1.1533584391,-0.2614170175,0.5686758573
SRX5694406,2.8081203678,0.9233328435,-0.4091271313,1.4957510113
SRX5694407,0.8168072465,-0.41601187380000004,-0.3672602511,1.4729265089
SRX5694408,0.4651147665,-0.0400098034,-0.4290552577,1.6687869098
SRX5694409,0.25922702870000003,2.9750840425,-0.24867924560000002,-1.6364045023
SRX5694410,0.2906625664,0.4000131241,1.6444551032999999,1.7937856649000001
SRX5694411,-3.3507263006,0.310393917,1.0396743782,6.1998403027
SRX5694412,1.9398374511,-0.5633500049,0.018004827600000002,-1.1265162808
SRX5694413,-2.6487198963000003,-1.1509874815,1.110811157,1.4547347903
SRX5694414,0.4804214485,1.5435218406,-0.2093856875,1.7716905973000001
SRX5694415,-0.41702373,-0.37464560290000004,-0.0729939501,0.6632869352
SRX5694416,0.2839400912,-0.2753849672,0.0425115215,-0.016547358800000002
SRX5694417,1.5235588396000002,0.760359871,0.0113719635,1.2054905474
SRX5694418,5.6419294252,1.3613735995,-1.0698798326,0.33468577200000005
SRX5694419,2.2557005665,0.3578964206,-1.0585871128,0.5146416848
SRX5694420,-0.5976930696,-0.5655237054,-0.3624862568,-0.5647021034
SRX5694421,3.3079858228,1.7704764811,-0.45640938480000004,1.4468213884
SRX5694422,2.0588165193,0.9948833545,0.35139155520000004,1.4105008534
SRX5694423,0.3128749215,0.3057116003,-0.4844135605,0.3881525771
SRX5694424,-1.4325867582,0.7969281005000001,-0.1062663242,2.8317588903
SRX5694425,1.4148174842,0.40009992050000004,0.4062426655,0.06905676940000001
SRX5694426,1.0099207242,1.5338875736,-0.35528596700000004,0.3371676335
SRX5694427,0.562455892,-0.1541026554,-0.2513521302,1.3828509103
SRX5694428,0.8472418482,-0.2639698771,0.5192493316,0.3977521382
SRX5694429,-3.7449505928,1.2324116873,0.9200093294,6.8910889165
SRX5694430,0.5155581345,0.1181292422,-0.1305593403,1.6464811712
SRX5694431,2.620314551,2.8998153454,-0.9282332367,3.2991175995
SRX5694432,1.5936187256,0.0215827792,0.1140269522,0.37110777580000004
SRX5694433,-2.204158486,-0.63825917,1.2290587571,1.8379643534
SRX5694434,-2.9081423482,1.2789622499,-0.6743982795,3.0931197662
SRX5694435,2.6767938516000003,2.1201199334,-0.9302289925,-0.46355103070000003
SRX5694436,-1.2376808537,2.4594090156,-0.5177878737,-0.6115930002000001
SRX5694437,8.1775540882,4.4714990312000005,0.0929706866,1.4951183398
SRX5694438,-0.3172397193,-0.2459607925,0.0216406188,0.1678148133
SRX5694439,2.1775791414,3.220828635,-1.0072846101,0.950256706
SRX5694440,-0.0003684595,0.27020235870000003,0.43959814340000003,0.41352822850000004
SRX5694441,-2.345860324,0.8204702811,-0.3650520371,2.796627174
SRX5694442,4.1237176114,2.6722868178,-1.0849604881000001,1.5509071806999999
SRX5694443,1.2910419565,-0.1437253402,0.0982177449,0.36172194150000003
SRX5694444,-0.3504967295,-0.2918441771,-0.3370857342,-0.0444717241
SRX5694445,4.6787569172,1.9242033586,-1.3288173975,0.0082113212
SRX5694446,-0.022553590000000002,0.3908184742,0.20963956420000002,1.3710286959
SRX5694447,1.5751329082,0.29769170030000003,0.3024847604,0.9610506127
SRX5694448,1.3361125811,1.2880439354,1.2371064204,2.1543381297
SRX5694449,0.2514352944,-0.10968342880000001,-0.2828892779,1.6513906019
SRX5694450,-0.6366521467,0.2648118437,1.3637458408,1.5820106665
SRX5694451,-1.6675200599000002,-0.0642055323,0.3796006147,0.9984723703
SRX5694452,0.0084213304,3.5736584316,-0.1867698052,5.2717045208
SRX5694453,-1.7823663231,-0.8443901248000001,1.4220511899,1.5962653053
SRX5694454,1.3052501049,0.5103542806,0.2762176371,-0.2603270278
SRX5694455,2.259145563,0.5323980644,-1.0432500902,0.9504459664
SRX5694456,0.2697061132,0.5195435926,0.1601311349,1.3090704904
SRX5694457,0.29628753220000004,0.5247519975,0.290367213,0.7868797234
SRX5694459,0.9352788731,0.9610497651000001,0.3014693415,1.3558041718
SRX5694460,0.4463117435,2.4224121777,-0.0150583305,-0.7376090114
SRX5694461,1.7294559312,-0.0590950842,-0.20411392990000002,0.9911474696
SRX5694462,2.0382158841,0.5080237806,-0.8992836927000001,-0.4279514354
SRX5694463,-0.9251612373,-0.3530766649,0.2646853744,0.8452730408
SRX5694464,0.91918636,0.3585420941,-0.003503087,1.5254529879
SRX5694465,-0.5827910149000001,-0.1396568417,-0.3263831666,0.8354274892
SRX5694466,9.5577928501,4.2363147951,0.21676444150000002,0.8780450165
SRX5694467,0.5220692144,0.4294177337,-0.2206380043,0.7633672302000001
SRX5694468,-3.6900939656,0.8704627624,-1.6177534796000002,0.9015248990000001
SRX5694469,0.23829917250000002,0.3225703093,0.1678523676,1.7314176202
SRX5694470,-0.6996491855,0.1480526145,0.0647516057,-0.3223180536
SRX5694471,0.3491307845,0.3275829752,-0.042283649300000004,0.5846260362
SRX5694472,1.7464771084000001,1.2223464112,-0.5015035003,0.5872235038
SRX5694474,-1.3383888545,-0.40177642080000003,0.052511884,0.7257460889
SRX5694475,-2.2479580016,-0.5675504835,0.35746545420000003,-0.5774520917
SRX5694476,0.9291342887,-0.0875025858,0.2313903802,0.09529836
SRX5694477,1.0810753815,1.5213822269000001,-0.3378570969,-0.5412054981000001
SRX5694478,-0.5699920483,-0.9601488835,-0.0683205811,1.0599983313
SRX5694479,-1.5332863115,1.8278133881,-1.0370912276,0.2374730753
SRX5694480,-0.1451569204,2.2244383639,-1.0518834583,1.60772998
SRX5694481,1.0675376807,0.44743656800000003,0.4778999775,0.9085263957
SRX5694482,1.2992828919,0.5314975691,0.29264335340000003,-0.3262400916
SRX5694483,0.2842139818,-0.186680648,-0.2594255023,1.1277914389
SRX5694484,1.8577648364,0.5515446419,-0.28369979840000004,0.9386999932000001
SRX5694485,0.9012350192,1.2962580661,0.8291679872000001,0.4509517523
SRX5694486,0.6859975768000001,-0.2001779286,0.3973811736,-0.0639251042
SRX5694487,0.5872387011,-0.6472086611,0.3101935125,1.4082975918
SRX5694488,1.1699320822,0.5189884961,-0.054048156400000005,-0.7416034723
SRX5694489,1.7099208732000002,0.1835697588,-0.2672165541,0.8136585506
SRX5694491,3.4803647893000003,1.1120324213,-0.5703451412,0.0363961477
SRX5694492,3.9310126315,1.0837326572000001,-0.7079573749,0.2001081612
SRX5694493,-3.7790220617,0.3035540935,0.2956542842,6.1643798859
SRX5694494,0.43934832570000004,0.38688996740000003,-0.0817664929,-0.5262935017
SRX5694495,0.7508073488,0.7315280071,0.2333969506,0.4494042287
SRX5694496,-0.1417016643,0.09606539780000001,0.20840738620000002,0.9749090699
SRX5694497,-1.1987763533,-0.8090360912000001,-0.3695071962,0.7256149867
SRX5694498,0.1963343454,0.2437104547,-0.4585150679,1.7593595396000001
SRX5694499,2.1438250539,-0.9298694673000001,1.7042151841000002,1.751595649
SRX5694500,-1.4244666514,0.0971727834,-0.4126847696,2.7617807754
SRX5694501,0.2642831325,-0.4359660926,0.06778760040000001,0.6181654693
SRX5694502,0.4175598244,-1.4207506827,1.872825206,2.5075698415
SRX5694503,-0.0045229486,-0.3567349365,0.9623817823,2.1991752686
SRX5694504,0.9186178249,0.060760923300000005,0.3320907913,-0.1561691235
SRX5694505,1.4144074219,2.836765388,-0.7871815856000001,-1.1222379598
SRX5694506,0.18818996500000001,-0.7752498800000001,1.5998265632000002,1.8257510406000002
SRX5694507,-0.1419289588,0.215100284,0.1805081323,1.2193057628
SRX5694508,-0.6241036398,0.9209005007000001,-0.4222560187,0.7821057964
SRX5694509,-1.2526860315000001,0.033966967,0.0334042971,3.5904763389000003
SRX5694510,-0.5246811765,0.0202245147,-0.1311908788,1.3420793821
SRX5694511,-0.6492833807,-0.0865886508,0.0426352565,0.8506569307
SRX5694512,3.3323944697,1.181881194,-0.8725822066000001,-0.1245240499
SRX5694513,0.0037461174000000003,2.4739991937,-1.3303556917,1.5380983798
SRX5694514,0.6007088578,1.6057942056,-0.2864814973,-0.8614962568000001
SRX5694515,6.385407238,3.0780201923,0.0735707572,1.4486035979
SRX5694516,2.5667614229,2.9902404889,-1.3336731172,0.6872766149
SRX5694517,1.207082252,0.12767335600000002,-0.1142015173,1.3086276388
SRX5694518,-0.0513567666,0.09658928010000001,0.18341875130000002,-0.2760686911
SRX5694519,1.2903242031,1.3645729674,-0.7907684103,1.0235755845
SRX5694520,0.4508970107,-1.2285649817,2.1117195961,1.4897593298
SRX5694521,0.69432321,0.2959280366,0.3886255783,0.5845534467
SRX5694522,0.2448380503,0.4560474344,0.0143908874,-1.2189971707
SRX5694523,1.9853723746,-0.3084368523,0.0256150144,-0.1977913058
SRX5694524,2.2120177762,-0.0017292671,-0.2104011496,0.3911624534
SRX5694525,1.4245791966,0.5045795135,0.0085798368,0.1284152789
SRX5694526,1.336406059,0.4811896731,0.0825736062,1.5259110242
SRX5694527,-1.0859478856,-0.2747820388,-0.49654540070000003,2.460158026
SRX5694528,-1.5600975919,1.8496393413,-1.1592837809,0.07493562940000001
SRX5694529,0.9673451174000001,0.328288801,0.3715469374,0.1201097817
SRX5694530,0.2516775489,-0.8685771560000001,2.04700729,1.2124686997
SRX5694532,-1.8617679729,0.8314431149,-0.9064052917000001,2.4707313586
SRX5694533,3.0469125088,1.962179559,2.3221158432,1.1024038899
SRX5694534,-3.7912295718999998,0.61238044,0.8191056084,6.7229596204
SRX5694535,1.2720490611,-2.240771361,2.1664384288,1.2174743899
SRX5694536,0.17776444430000002,-0.5380316007,0.312941719,-0.8612462674
SRX5694537,0.36360090440000004,0.3579447625,-0.08365901810000001,1.550234794
SRX5694538,0.6959262884,0.1667527638,0.27764796010000004,1.3987683314
SRX5694539,-0.6102128421,-0.9769818419,-0.1062791632,1.0290859878
SRX5694540,-2.2135833371,0.6724611669,-0.8746810189,1.9149427959
SRX5694541,0.6824487026,0.8086324472,0.0212893457,1.8975508755
SRX5694543,2.4708558517,2.9298763056,-1.4227970573,0.4708601589
SRX5694544,0.6272218489,0.22825127650000002,-0.09949125260000001,-0.1253632061
SRX5694545,-0.9048324126,-0.4545369077,-0.1577824506,0.1899890102
SRX5694546,1.5829001372,1.1208865228,0.1979208299,1.988827164
SRX5694547,-0.3854314533,0.3174732874,-0.0983244493,2.1796641691
SRX5694548,0.4157090942,0.1273323527,-0.10726312730000001,0.3388654124
SRX5694550,-2.0688818988,1.3082963426,-0.6978840678,2.6044733082000002
SRX5694551,2.137567608,-0.5131585080000001,1.2989015814,0.8748494485
SRX5694552,-0.715592697,0.0059627175,-0.2720895007,0.9914830709
SRX5694553,1.0852303596,0.2146546679,-0.024036357300000002,0.7214335541
SRX5694554,-0.5065410129,-0.015120441600000001,-0.4097315989,0.3639243511
SRX5694555,3.4203686155,0.7459634212,-0.5013546251000001,0.20795290290000001
SRX6072760,2.0689280264,0.3045718937,-0.7687468877,-0.8074320408000001
SRX6072761,3.8824196663,1.0015913217,-1.0616214811,-1.0770563455
SRX6072762,1.4789376381000001,0.1831072582,-0.6577892522000001,-0.7672149771
SRX6072763,2.6876609497,0.6405814366,-0.5740942278,-0.6398054502
SRX6072764,3.8610008421,1.0706999978,-1.0361671219,-1.0886809266
SRX6072765,2.7313755243,0.6502544159,-0.7509590596,-0.7923156027
SRX6376491,-3.0987752578,0.0315724828,-0.2802834775,0.8937691545
SRX6376492,0.8354023097000001,3.0340294009,-0.5467679553,-0.5154575963
SRX6376493,1.4436188894,3.1327510623,-0.496050223,-0.9425022959
SRX6376494,0.1741360331,3.2858297662,-0.3733254975,-0.5748185063
SRX6376495,-3.5570266408,-0.5174414946,-0.3983221349,1.2720908421
SRX6376496,-2.9727826819,-0.1023574252,-0.38248051590000004,0.5307494926
SRX2723951,-1.2591173979999999,0.5422618922,0.8432252062000001,0.6870448113000001
SRX2723952,-1.7499630064,0.4164048615,1.1504014709,1.0264022155
SRX2723953,-0.6195909843,-0.1692218291,0.7521477451,0.4879142703
SRX2723954,-2.7136879469,0.33498295640000003,1.4086487199,1.6165381507
SRX2723955,-1.8053961196000001,0.28584506390000003,0.3998798508,-0.0739130331
SRX2723956,-0.27152969120000003,0.6731613465,0.7056635178,1.0167146533
SRX2723957,0.5337245194,0.1048980311,0.103261615,0.2533704194
SRX2723958,-0.2764963758,-1.191909397,0.1763386756,-0.5135766389
SRX2723959,0.4556394553,0.1555161875,-0.0215192336,0.52554132
SRX2723960,-0.7349536014,0.0127728602,0.6306022101000001,0.110140157
SRX2723961,-2.0967530502,-0.07124371210000001,1.3646683404,1.7364579917
SRX2723962,-0.7665933629,0.10293969580000001,0.6687532491,1.1922248657
SRX2723963,-0.6505833321000001,0.2286813939,0.0647935488,0.9847032273
SRX2723964,-2.319213963,-0.0895754911,0.4117203695,0.7426169290000001
SRX2723965,-0.5730718234000001,0.3246434466,0.3904197296,1.119807072
SRX2723966,0.7906548867000001,0.035039062,0.0397688047,-0.8790008433000001
SRX2723967,-0.6023187877,-0.1407319646,0.0093058216,0.0915986104
SRX2723968,-0.188336099,0.1056929025,-0.0490746264,0.7874022329
SRX6977206,4.5388857373,1.5837247357000002,-0.515047143,0.9366884912000001
SRX6977207,4.5062194017,1.2297185633,-0.24156239610000002,0.3483890727
SRX6977208,6.7169412147,2.5251460082,-0.2677487873,3.1472388853
SRX6977209,6.7521397022,2.2536423109,-0.29089581800000003,2.8321677847
SRX6977210,6.8839163027,2.2811463111,-0.21083552390000002,2.7450550479
SRX6977211,0.030173251800000002,0.2522178483,-0.3001899825,0.3400891281
SRX6977212,-0.4919916473,0.10866578460000001,0.2664943212,-0.25372428480000003
SRX6977213,0.46181839550000003,-0.36088363300000004,0.0336956613,-0.08636484330000001
SRX6977214,4.5781072341,1.1608297357,-0.5272567826,0.6947912868
SRX1153733,0.052168403200000005,0.21120179400000003,0.1224394568,0.3373130583
SRX1153734,-0.052168403200000005,-0.21120179400000003,-0.1224394568,-0.3373130583
SRX1153735,-0.3599991389,0.6042775489000001,0.1665488397,2.9343459687999998
SRX1153736,0.712292624,1.0581875857,0.169180933,2.4576169775
SRX5204053,1.8076250934,0.7833030291,-0.4673967348,-0.3385773235
SRX5204054,1.4772802916,0.18545639490000002,0.0624603778,0.429843903
SRX5204055,1.5453677092,0.7628470544,-0.3707570297,-0.1865057943
SRX5204056,1.1428392656,0.9322693711000001,-0.20112589990000002,0.29735608
SRX5204057,1.2413334341,1.3215093420000001,-0.2110141431,0.7567784809
SRX5204058,1.6476843627000002,1.0885261236,-0.1939006027,0.8853560237
SRX5204059,0.7229545817,0.5314063268,0.18558390160000002,0.4473104538
SRX5204060,1.0235475156,0.8384307199000001,0.0883838301,0.2107324931
SRX5204061,0.5423326756,0.6062031899,0.1600591932,0.7946134522
SRX5204062,1.1130075012,0.4684920649,-0.015602514900000001,1.0793874594
SRX5204063,0.7142664277,0.6585613479,-0.1467241488,0.7496094121
SRX5204064,0.4284344089,0.9399394726,-0.2540072863,0.8681157217000001
