,A,PaaX,Crp,ihfB
SRX5694256,-0.0995223214,0.08736319120000001,-0.2340068764,-0.6969566792
SRX5694257,-0.5915458869,-0.17752986980000002,-0.33700626310000004,-0.24371025970000001
SRX5694258,-0.8608786205000001,-0.41522951080000003,-0.2857852433,0.3294536628
SRX5694259,1.546474552,-0.45591303050000004,-2.9247054987,-1.0253066066
SRX5694260,0.0437472005,0.4719679592,0.0899715865,-1.1929652783
SRX5694261,2.2004859664,-0.7139316192,-1.6070723407,0.8805616572
SRX5694262,-0.6296787219000001,-0.7325227667,-0.5390842036,1.9132335694
SRX5694263,-0.5133121473,0.4257754489,-0.0980165268,-1.1279696429000001
SRX5694264,-1.0908742381,-0.6877405611,0.2016373309,-0.9605612867000001
SRX5694265,-0.5959844592,-0.5782123891000001,-0.2490351859,-0.7856317823000001
SRX5694267,0.1617289573,-0.196941941,0.0411821817,0.10447339950000001
SRX5694268,-0.2314939011,0.28661477900000004,0.0231238538,-1.1566112913
SRX5694269,0.349356004,0.1723193958,0.0476350313,-0.5151260577
SRX5694271,-0.0760584158,-0.057139123400000005,0.24713669740000002,-0.3442757495
SRX5694273,1.1562910361,-0.42405728810000004,-1.5465123927,-2.3813583609
SRX5694274,-0.6479568871,0.2774818424,0.2066153554,-1.0600417401
SRX5694275,1.3194807082,-0.7637522642,-0.5157335737000001,-2.7828060503
SRX5694276,1.42579934,-0.3853451537,-1.8223907651,-0.938501404
SRX5694277,-0.4246509337,0.3341823157,0.36042412560000003,-1.1086632386
SRX5694278,0.9383328738000001,-0.2620231288,-1.3002511837,-1.5186830960000002
SRX5694279,-1.1881134649,0.27342530330000003,0.3379205155,-1.0835463994
SRX5694280,1.9715996779,-0.8047356112,-0.6834405493,-0.2108301915
SRX5694281,-0.6145175016000001,0.36514689180000004,0.1656640608,-1.1932094615
SRX5694282,1.864409852,-0.39525130950000004,-0.9934080376000001,0.5828825608
SRX5694283,4.9878882989,-0.0246429289,-0.3443110079,-0.9701385051
SRX5694284,1.4312006866,-0.3169037648,-0.9407234058,-0.8524414069
SRX5694285,-0.3766924427,-0.41817946970000003,-0.0040549861000000005,-1.405760481
SRX5694286,0.2441694522,-0.5602127391,-0.1478341465,-2.0779262437
SRX5694287,4.2911947113,0.9810942796000001,-0.1558928562,-0.1903310601
SRX5694288,0.041828281200000005,-0.14291889230000002,0.2764607147,-1.0812140072
SRX5694289,2.9401175198000002,-0.1119975106,-0.14661147630000002,-0.026524093000000002
SRX5694290,-0.1511308318,-0.4459288773,0.2201400917,-1.0022560843
SRX5694291,3.0762529797,-1.5363631467,0.1874058842,-1.7171008209
SRX5694292,-1.2831345964,0.3728135893,0.0513472187,-0.8705550239000001
SRX5694293,-0.5661005767,0.0406723877,0.3866879371,-0.6341559143000001
SRX5694294,2.0154592828,-0.0247234648,-0.0602559214,0.5477587571
SRX5694295,-0.5489900284,0.1695982338,-1.4743546362,-1.3179166312000001
SRX5694296,0.44703571750000004,-0.1991981088,-0.13444608700000002,-0.09633023900000001
SRX5694297,-0.5507152955,-0.9337571151,-1.621907484,0.6487792296
SRX5694298,1.3024554818,-0.1993894267,-0.0376343135,-1.398343179
SRX5694299,-1.3817908392,0.002978095,-0.0810478849,-0.0548211138
SRX5694300,1.1377503838,-0.4390807982,0.1296583874,-0.4764255264
SRX5694301,-0.7684297694000001,0.4379250897,0.2017965224,-0.9915859493
SRX5694302,-0.1551699181,-0.1274431913,0.1490464558,-1.1529412139
SRX5694303,-0.8703936243,0.0508486739,0.2623448043,-1.0626874924
SRX5694304,1.3937513483,0.1102884923,-0.22631582460000002,-0.9260874235000001
SRX5694305,4.9885765635,-0.5685030779,-1.9945889461,-1.3048554744
SRX5694306,-1.1382177491,-1.9331157856,-0.303318389,2.186138402
SRX5694307,0.6864724431,-0.0626120055,-0.9213934478,0.9100277827000001
SRX5694308,-0.37266991110000003,-0.12570754850000002,-0.5542551321,-0.8877531976
SRX5694309,0.8996270813,-0.13272670890000002,-2.4371824129,-1.5251338072
SRX5694310,4.8907156222,-0.4743815046,-0.6975730314,-1.4504833334
SRX5694311,2.003094823,-0.4861837679,-2.788252041,-1.2200697843000001
SRX5694312,-1.1530101246,0.22118516030000002,-0.46271994780000003,1.7775761065
SRX5694313,0.7943046305,-0.7196278735,-1.0117169578,-1.2855187251
SRX5694315,1.7199809662,0.1366723098,-0.1729404675,-0.8769879084000001
SRX5694317,1.8433604343,1.539897405,0.2138522692,-1.2793691829
SRX5694319,0.2561978194,-0.44285104540000003,0.22403181360000002,-1.080054735
SRX5694320,3.2668501889,-1.5425882237000001,-0.09237995040000001,-1.4207421173
SRX5694321,5.7320922761,-0.2173507106,-0.38942819040000004,-0.36320266970000004
SRX5694322,2.4128216,0.1597271515,-1.1362642293,3.0734252999
SRX5694323,6.3207908335,-0.0622699487,-0.41342659340000004,-0.1474923579
SRX5694324,2.5984080932999998,-0.8371523114,-1.6036324816,-0.8603384773
SRX5694325,2.9732034075,-0.48647467640000003,-0.5104274184,0.0810143052
SRX5694326,0.3650500561,-0.3390196516,-0.1584196907,-0.8766338815
SRX5694327,4.4487534451,-0.471099672,-0.6589226995,-1.0401998064
SRX5694328,0.4356312718,-0.16337082320000001,0.1764471632,-1.1131732022
SRX5694329,5.2111495945,-0.42214118240000004,-0.5799739837,1.1241333731
SRX5694330,0.2912816817,0.0232811414,-0.6950204566,1.0533152899
SRX5694331,-1.8457449795,0.0053835671,0.245553549,-0.2205498512
SRX5694332,4.7713204756,0.26337939850000003,-0.24882076420000002,-0.9253991697
SRX5694334,0.5490388074,-0.6442379262,-1.0972302127,-0.6949207847000001
SRX5694335,3.6709039835,-0.0524011526,-2.0210704043,0.3662144094
SRX5694336,1.353467304,0.1579142549,-1.6584843203,-0.9221896544
SRX5694337,-0.5020339341,-0.4698592373,-0.2397944182,-0.3053163494
SRX5694338,-0.4084522618,0.5824392717,0.1989831632,-1.4155199507
SRX5694339,-0.1771902357,-0.2139145675,0.10670366340000001,-1.0599211097
SRX5694340,2.0586439633999998,-1.006616005,-0.1227589166,-1.4386345449
SRX5694341,1.1969021975,-0.31534464630000003,-1.4531793695,-0.2803295697
SRX5694342,0.6548468858000001,-1.3158672438,-1.642695013,0.6293734383
SRX5694343,6.4862828519,0.8224239364,-0.659556922,-0.2010869699
SRX5694344,-0.5313833705000001,-0.6023418259000001,-0.5482364304,1.2525770415
SRX5694345,0.5891413684,-0.2822709315,-0.1455592358,-0.2896248806
SRX5694346,7.0337825751,0.43868170580000004,-0.6506498564000001,-0.5997892775
SRX5694347,1.01838051,-0.39275600190000004,-0.0665078507,0.1237988565
SRX5694348,0.2795288776,0.8292290816000001,0.0163008612,-1.5734086149
SRX5694349,0.2724373983,0.2140915016,0.3281616036,-1.8638919299
SRX5694350,-0.628412378,-0.2656008723,-1.3897674496999999,0.6829585180000001
SRX5694351,3.449606041,-0.6089206815,-0.94657928,0.9236742301
SRX5694352,0.4581164002,-0.2605727519,-0.11358356480000001,-1.7925095215
SRX5694353,-1.0166064864,-0.5606623886000001,0.2090437913,-1.0856227286
SRX5694354,0.6527542492,0.5689897989,0.156288703,-1.5969538419
SRX5694356,-0.35819462080000003,-0.6359252568,0.1914919696,-1.1365814194000001
SRX5694357,0.054513017600000005,-0.33415145290000003,-1.6521756011000002,0.9335471945
SRX5694358,4.9867442012000005,-0.8760114566,-0.2527058608,-0.9001345086
SRX5694359,0.41516220140000004,-0.7254000073,-0.30657057660000003,-1.5787237146000002
SRX5694360,0.1055360402,-0.2778425217,-0.2669976047,-1.5363409356000002
SRX5694361,0.8875607644,0.46261447440000003,-1.0307723459,3.3245249795
SRX5694362,-0.9680717681000001,0.5418667070000001,-0.0309958632,1.3672523569
SRX5694363,0.08377811930000001,-0.6749192499000001,-0.3804310446,-0.2511288672
SRX5694364,0.4466354515,-0.0373746552,-2.3462003852,-1.2241393744
SRX5694365,0.0663483208,0.2668144374,-0.6041545277,2.2712715973
SRX5694366,-0.5825793911,-0.5558370282,-0.054980210200000004,-1.1236160881
SRX5694367,3.0612927276,-0.645866622,-0.7076949831,0.16848949670000002
SRX5694368,0.6071230537,-0.4053802922,0.1102525246,-1.2601444012
SRX5694369,-0.07354980280000001,0.5438366383000001,-0.0590977866,-1.4558741109
SRX5694370,5.1108600767,0.2733085528,-0.22081801820000002,-1.5760854295
SRX5694371,1.0007933205,-0.0354201236,-2.3057897995,-1.4715961776
SRX5694372,0.1355222005,-0.5419649999,-0.3165443482,-1.5589412839999999
SRX5694373,1.3330374457,-0.40133590010000003,-1.5399098517,0.3994912939
SRX5694374,1.9613155558000002,-0.8136189256,-0.3411830033,-0.9678017240000001
SRX5694375,0.0781144886,0.2550070531,-0.0340696975,-0.9608040567
SRX5694376,-0.2980001558,0.5574603192,-0.31705369640000003,1.2447894583
SRX5694377,3.3731359925,-1.6136986228999999,-0.5697764494,-1.191436742
SRX5694378,1.0937667998,-0.4130623974,-0.31765341210000003,-1.9337324817
SRX5694379,0.4448787408,-1.0154015357,-0.25011430100000004,-1.1366547883
SRX5694380,6.0404115674,0.0900333148,-0.8373204843000001,-0.7399595053
SRX5694381,-0.568559145,-0.28070409020000003,-1.2728116676,0.923138631
SRX5694382,4.5901450474,0.5382162154,-0.025511662,-0.6534829936000001
SRX5694383,0.18878870080000001,0.0884096736,0.1480773849,-1.1495585992
SRX5694384,-0.6551615684000001,0.055279721600000005,0.1439389809,-0.3206835072
SRX5694385,-0.1136893538,1.2871305478,0.0779751018,-0.8808770448000001
SRX5694386,3.0406372709,-0.1029927861,-2.8414442095,-2.0232756272
SRX5694387,0.5427796060000001,-0.6766582929,0.0426535923,-1.1867332256
SRX5694388,3.446672047,-0.6548168508000001,-1.6022828696,-0.9006154946
SRX5694389,-0.1951280926,-0.9097304155,-0.0800003088,-1.631366638
SRX5694390,-0.6533268048,0.2849658574,0.0001683552,-1.033868219
SRX5694391,0.7695025065000001,1.4952909668,0.1315329539,-0.7600665551
SRX5694392,-0.012577049100000001,-0.4037398173,-0.1486598298,-0.4911206664
SRX5694393,-0.3887430217,0.0192641698,0.232671539,-0.30821672310000003
SRX5694394,-0.7388462627,0.5918371776,0.2168248136,-1.1953659872
SRX5694395,0.14473533630000002,-0.360716594,-0.3791651303,-0.137280135
SRX5694396,2.6397414952,-0.6554905248,-0.8353134788000001,1.2171043994
SRX5694397,2.6797238535,0.2240553425,-0.0202364792,-1.5275886062000001
SRX5694398,2.177989204,0.33362434480000003,-0.0607073754,-1.9308061206
SRX5694399,-0.2690539249,-0.0861818944,-0.2527744328,0.33441959600000004
SRX5694400,1.4288643417,-0.2155043037,-0.1981004934,-1.6562199957
SRX5694401,0.4183693034,0.9380283198,-0.021523506600000002,-0.9106399612
SRX5694402,3.4989891404,0.1574856836,-2.6700349591,-1.9080504914
SRX5694403,2.7152574453,-0.45896797980000004,-0.9103162108,-0.9515812199
SRX5694404,-1.7220287173000002,0.2280258057,0.0943710534,-1.2671154485
SRX5694405,1.5574019186,0.4515358364,-0.1829334597,-0.0163777134
SRX5694406,0.1905694914,0.1595338165,-0.3972091841,-1.1819124107
SRX5694407,-0.2776860548,-0.4995636022,-0.2638287498,-0.8976499983
SRX5694408,2.1270459649,0.0512392512,0.0417388443,-0.7905816784
SRX5694409,0.709217297,0.7306912014,-2.2693012292,-0.8527907562
SRX5694410,1.7863729302,-0.38614489090000004,-0.1972134109,1.3728449627
SRX5694411,3.0785465406,0.6009924293000001,-0.8663395759,0.5807675425000001
SRX5694412,2.7674462704,-0.19772292660000002,0.1259657223,-1.8941859509
SRX5694413,6.3505270116,1.2544232139,-0.6476176532,0.3180122541
SRX5694414,-1.8785868714,-0.26009517120000003,-1.42088019,0.8686363537
SRX5694415,-0.8068747237,-0.20579427460000002,0.007690172800000001,-0.8441132099
SRX5694416,0.4338726014,0.0984683432,0.0575483496,0.0625105212
SRX5694417,1.8112417096,0.029912491500000003,0.2665585241,-0.8835196625
SRX5694418,0.4558235098,-0.5118685006,-1.9463157999,-1.2250992002
SRX5694419,0.7748474726,0.1443570814,-1.5689931018,-1.2535987095
SRX5694420,-0.1981571202,0.0412101972,-0.0638843971,-0.15609256470000002
SRX5694421,0.34494826170000004,-0.3658946563,-0.6176702001000001,-0.5219061525
SRX5694422,2.8284697900999998,1.0919434787,-0.058214080700000004,-0.6248932219000001
SRX5694423,-0.368295598,-0.2953876217,-0.3208467193,-0.8532571789000001
SRX5694424,2.9159779413,0.1407174046,-0.3043319677,-0.8440673101
SRX5694425,-0.08779239550000001,0.31299250440000004,0.2263080572,-1.6423178196000001
SRX5694426,0.7015852765,0.1603558951,-0.6604587882,-0.7419004346
SRX5694427,0.8647201371000001,0.2947237982,0.1652363888,-1.0228097095
SRX5694428,1.2252620711,0.7960024763,0.073808526,-0.8209870645
SRX5694429,2.8132171621,0.44780617840000003,-1.4421129371,0.5544799185
SRX5694430,-0.5424884870000001,0.3318186084,0.0124821121,-0.6908904131
SRX5694431,2.7958677628,-0.0680953903,-0.0624036472,0.11122089040000001
SRX5694432,-0.24685771280000002,-0.2644098964,-0.3304413054,-2.1413952496
SRX5694433,5.4761037109,0.7407326037,-0.8187488844,0.6797201304
SRX5694434,8.0859445205,0.3431660096,-0.6212632720000001,-0.0813581815
SRX5694435,0.1976759935,-0.1526944479,-2.0377494386,-0.8155494813
SRX5694436,1.5019438708,0.8607591175,-2.3919325405,-1.0687696929
SRX5694437,3.5109391349,0.9046335456,-0.2507206522,0.3147754193
SRX5694438,-0.635970196,0.3321418319,0.07346573220000001,-0.7102352016
SRX5694439,3.4821326184,0.13885295890000002,0.3143882568,-0.8855864517
SRX5694440,-0.8674145594,0.12587960210000002,0.1617989176,-0.3273901919
SRX5694441,3.9240956054,-0.4596186358,-0.4081937196,1.1375522752
SRX5694442,2.6520882407,-0.39929562620000003,-1.7002395932,-0.8341317912
SRX5694443,0.3253964214,0.0675667153,0.1538530863,-0.7477767726
SRX5694444,-0.1937358008,0.2590144507,0.1414549701,-1.2438504318999999
SRX5694445,0.3403584242,-0.6408718938,-1.7943494913,-1.3600939619
SRX5694446,-0.5134708138,-0.40174208800000005,0.2193526747,-1.2032978044
SRX5694447,-0.7813275401,-0.31802132650000003,-0.3849941899,-1.5183364254
SRX5694448,-1.4467410535,-0.316683941,-0.732440443,0.8265102893
SRX5694449,1.1570811348,0.1374350514,0.1017285234,-0.8085937780000001
SRX5694450,0.2780299757,-0.24599784200000002,-0.2163555027,0.6144673881
SRX5694451,0.6421060016,0.23195776210000002,-0.1832599433,-0.7307318690000001
SRX5694452,2.6089492239,-0.9387073159,-0.9702752261,1.0924749437
SRX5694453,3.4806383317,0.9560639671000001,-0.7029806271,0.6265042858000001
SRX5694454,-0.8376870728,-0.13385536750000002,0.2689052974,-0.1930641951
SRX5694455,1.1394484327,-0.302261341,-1.7485042558,-1.1221989695
SRX5694456,-0.46999424580000004,0.0909438496,0.2638014382,-0.8893847205000001
SRX5694457,0.4523360963,-0.0901712677,0.1813226141,-1.1343377475
SRX5694459,-1.6796956871000002,-0.6938782990000001,-0.0659537084,-1.2139028339
SRX5694460,1.097452426,0.11194905370000001,-2.6935232182,-0.8070874991
SRX5694461,1.3183323217,0.031018904000000003,-0.24608755940000002,-2.112586486
SRX5694462,0.49650114900000003,-0.1340811416,-1.4072956342,-1.1911668779
SRX5694463,-1.3187091465,-0.1811368947,0.13500124700000002,-0.9323923927000001
SRX5694464,0.2966266799,-0.4585823117,-0.16266356510000002,-1.3161077135
SRX5694465,-0.5962912691000001,-0.8957942545,-0.08100398930000001,-1.3777511591
SRX5694466,6.9038684983,1.2509363184,-0.0203257193,-0.1171657056
SRX5694467,0.2549871647,-0.0181614137,-0.0864598209,-0.49182771470000003
SRX5694468,4.1806963502,-1.3509470434,0.09512308080000001,-1.4181288842
SRX5694469,-0.0200122545,-0.2842332321,0.056592892000000006,-0.1270655376
SRX5694470,-0.0042642167,-0.1252317095,-0.0203162279,0.019027187600000002
SRX5694471,2.4430405657,-0.0201751651,0.08127249760000001,-1.3556210419
SRX5694472,1.1778345768,-0.30336554450000003,-0.42764759150000003,-0.8715800265
SRX5694474,2.2988547905,-0.0744066124,-0.3318785326,-1.0604877154
SRX5694475,-0.9196403893,-0.1763958403,-0.1072682971,-1.21089239
SRX5694476,-0.1886976323,0.12487294630000001,0.2832759084,-1.8870095360999999
SRX5694477,0.2502717493,-0.2007872027,-2.220698214,-1.3888387334
SRX5694478,0.2332062456,-0.0732140466,-0.324421403,-0.8358051031
SRX5694479,3.8459459044,-0.3531193475,-2.078741852,0.5651488816
SRX5694480,5.1129884047,0.1652614342,-0.8986833081000001,0.2685785134
SRX5694481,0.8055365972,-0.4682000565,-0.39061972300000003,-1.6003623698
SRX5694482,0.7421183051,0.0738608801,0.5302146851,-1.1976275807
SRX5694483,-0.6885099813000001,-0.3463771472,-0.0648156579,-0.7254365348
SRX5694484,1.0281553877,-0.2665588535,-0.2015433442,-1.5497718291
SRX5694485,1.8430725189000001,1.3899564974,0.0561230447,-1.4148320002
SRX5694486,-0.5652029062,-0.0426380049,0.1840419059,-0.5654554842
SRX5694487,-0.1701145772,-0.5870337298,-0.0687134662,-0.9495107329
SRX5694488,0.34454548300000004,0.7086760508000001,-0.0029101905,-1.5245136858000001
SRX5694489,5.6251088423,0.4425639162,-0.2414092729,-1.1641195583
SRX5694491,1.6216345035000002,-0.5828101775,-1.3992598427,-2.5741590835
SRX5694492,1.5541462762,-0.4142832178,-1.4757436121,-1.0544668967
SRX5694493,0.890196521,-0.2688630805,-1.5239909109,0.8937663383000001
SRX5694494,1.2795565389,0.0184473353,-0.5778881676000001,-1.0658638001
SRX5694495,0.3014937192,-0.0221170877,0.2383405456,-0.4030416777
SRX5694496,-0.4106679722,-0.2212367781,0.2231626615,-0.3592908259
SRX5694497,2.4962587284,-0.2632649623,-0.6145709097000001,-1.4169871254
SRX5694498,-1.2013635887,0.0244843985,0.0065499987,-0.7704255608
SRX5694499,-1.1871583628,1.0159410798,-0.2166458346,1.4216113671000001
SRX5694500,0.8716179097000001,-0.6278625349,-0.6082655704000001,-0.5411210531
SRX5694501,-0.0770586617,-0.08805414900000001,0.012213341,-1.3035955075
SRX5694502,-2.0404161238,0.1479237546,-0.8489028276,1.3887672586
SRX5694503,2.5833593736,-0.3392021154,-1.5276697252,0.8136457702000001
SRX5694504,-0.18835705690000001,-0.049559391,0.23647347670000002,-0.698496408
SRX5694505,1.3680063482,-0.44898640770000003,-2.8546736802,-1.103713867
SRX5694506,-1.1634739546,0.1493583028,-0.6676717403,1.2386235294
SRX5694507,-0.10646467230000001,-0.3959935034,0.10364661430000001,-0.2659310432
SRX5694508,0.7781111738,-0.1034023562,-0.8174938777,-0.0737889784
SRX5694509,4.0358883657,0.1675685415,-0.1972418484,-0.9006875255000001
SRX5694510,-0.3540070569,-0.30677985020000004,-0.2550231206,0.2081297598
SRX5694511,0.0354147259,0.057648812300000005,-0.1637807405,-1.3784560639
SRX5694512,1.2091024348000001,-0.3129690678,-1.3135012281,-2.3822049737
SRX5694513,5.4357482952,0.5824479178,-1.2176583871,0.4239930953
SRX5694514,1.0533147966,-0.1476571899,-2.7449780099,-1.4708029085
SRX5694515,1.7637414923999999,1.2647733424,0.1674650962,-1.7224261519000001
SRX5694516,4.2246784725,0.0149934705,0.7184192778,-1.5435894269000001
SRX5694517,1.0180701075,0.1963467912,-0.0899811296,-1.8093958038
SRX5694518,-0.7603074417,-0.0925381815,-0.0284053616,-0.9876997408
SRX5694519,2.4245688036,-0.4251743837,-0.4440190169,-0.3076214923
SRX5694520,-2.1682807819,0.6078762193,-0.3742459546,2.3779477235
SRX5694521,1.5816305424000001,0.2639131584,-0.0823108953,-0.6260783282
SRX5694522,-1.346448427,0.3523047528,0.19009073370000001,-1.3243610216000001
SRX5694523,1.0288283687,-0.0485169676,0.1230572979,-1.913245468
SRX5694524,6.265497576,0.1658585803,-0.3090692798,-1.8270254236999999
SRX5694525,0.6425657574,0.08122195880000001,0.1271493457,-0.5718133694
SRX5694526,1.1447145089,-0.2028717264,-0.057352962300000004,-1.692727136
SRX5694527,2.2590751793,-0.7319713253,-0.7911037301,-0.6914483507
SRX5694528,4.4888262519,-0.140749072,-2.2550692285,0.45608091370000003
SRX5694529,1.6760460191000002,0.7619061234000001,0.09459037740000001,-1.6076887017
SRX5694530,0.9568788633,0.2023490011,-0.3417330189,1.7492043202
SRX5694532,3.2351128303,-0.6178618473,-0.7655932475,-0.7823283851
SRX5694533,1.7439737275,-0.5673589494,-0.8230648089,2.1890417573
SRX5694534,2.4903952106,0.3596601817,-1.0244460877,0.4806726161
SRX5694535,-1.5787001675,-0.2576873998,-0.3020521984,2.1503019243
SRX5694536,-0.0669695191,0.1397112473,0.0940214917,-1.9090493219
SRX5694537,0.2565561979,-0.3060151298,0.0455558508,-0.9203707726
SRX5694538,-0.1577841332,0.3628794427,0.22416250880000002,-0.6959742576
SRX5694539,0.40121640820000004,-0.6867112383,-0.4554145486,-0.7680530929
SRX5694540,1.1078892156,-0.690500061,-0.9496879326000001,-1.0549421924
SRX5694541,-0.3487524241,-0.2205053022,-0.14394191280000002,-1.5490004049000001
SRX5694543,3.5009427825,-0.3045286021,0.257330798,-1.007280809
SRX5694544,0.23822398090000002,-0.18771491640000001,-0.3373228733,-1.4086176609
SRX5694545,-0.1611777488,0.1871711409,0.035948117,-1.0295143598
SRX5694546,-0.38835997170000003,-0.6956650056,-0.3182627866,-1.6932599032
SRX5694547,0.3119767959,0.2011403071,-0.1118469182,-0.4320461095
SRX5694548,-0.4296083847,0.026763366400000002,-0.0372321217,-0.0815377088
SRX5694550,8.8595652823,-0.1079536628,-0.4922607946,-0.08661096330000001
SRX5694551,-1.0991726912,0.6542851510000001,-0.4416388787,1.0713928878
SRX5694552,1.0137088616,-0.1893093404,0.0105278607,0.0859108769
SRX5694553,-1.2211836761,-0.2109832931,0.2876777482,-0.5434080902
SRX5694554,0.3851824985,-0.06386616390000001,-0.1645882529,-0.4315676376
SRX5694555,0.8068974025000001,-0.3797480346,-0.8421746734000001,-1.1390807783
SRX6072760,5.4713537613,-0.3676628847,-0.7797289048,-1.4467053043
SRX6072761,1.6296776329,-0.27360220760000004,-0.9412126322000001,-1.3026676412
SRX6072762,8.2518101093,0.5102186826,-0.555678611,-1.4595111938
SRX6072763,9.1559460298,0.44747425830000004,-0.38526479500000005,-1.1597284343
SRX6072764,0.9572589028,-0.9827198945000001,-1.0984957077,-1.5922904276
SRX6072765,8.079212963,0.5806066968,-0.4458656036,-1.2242512257
SRX6376491,5.1111048568,0.2760483317,-0.23661516940000002,0.6714071664
SRX6376492,2.9535017833,-0.2005965922,-1.8181327083,-0.6753540017
SRX6376493,1.4047930918,-0.36257912270000003,-2.037821897,-0.6499896119
SRX6376494,2.8286687041,-0.25221228300000004,-2.2059426753,-0.6026302438000001
SRX6376495,5.8096219314,0.434696729,-0.4792645071,0.2388964468
SRX6376496,4.4648843313,0.152102118,-0.054275376300000004,0.6331582822
SRX2723951,-0.0413004151,0.5742264422000001,1.2971935035,0.3417530218
SRX2723952,0.7334563367,0.9665566979,2.020927993,0.46574061040000003
SRX2723953,0.3469959519,0.4319342225,0.5760517667,-0.0820151137
SRX2723954,6.6318043439,2.2095717604,2.383091682,0.7163691619
SRX2723955,1.4310212446000001,0.2724766005,1.2512872247,0.0582164146
SRX2723956,0.21179150900000002,0.7344380771,1.4331106707,0.3291020489
SRX2723957,-0.413912,0.1677832878,0.1517886605,0.0307312722
SRX2723958,1.0307155905,-0.5649376844,-0.2646015759,-0.7027882675
SRX2723959,0.238400092,0.196047471,0.256464884,0.0423091795
SRX2723960,0.562043752,0.28591292300000004,0.9591927252,0.3616571047
SRX2723961,2.8515762656,1.7666826841,2.5388323397,0.8136953180000001
SRX2723962,-0.702561145,0.1880803898,0.9744724369000001,0.3255633119
SRX2723963,-0.11617803580000001,-0.4140690064,-0.30103145470000003,0.1191264814
SRX2723964,1.3697527045,0.2940944515,1.2020478367,0.5818783374000001
SRX2723965,0.0832158051,0.3377978341,0.7380002376,0.3624424913
SRX2723966,0.0019713461,0.3040549752,0.0829169912,-0.0459312133
SRX2723967,-0.0473405953,-0.15486779620000002,-0.075921268,0.0124592081
SRX2723968,0.045369249300000004,-0.149187179,-0.006995723200000001,0.0334720052
SRX6977206,-3.1007423234,-0.3679207521,-0.2546401567,0.2901538582
SRX6977207,-3.3002260691,-0.6730292202,-0.30518404320000003,0.0467296974
SRX6977208,0.056758655500000005,0.7279538811,-0.5181824078,0.7931308635000001
SRX6977209,-0.5203417503000001,0.312588401,-0.675081557,0.7752613471
SRX6977210,0.0440967987,0.371772127,-0.7835359689,0.7093392535
SRX6977211,-0.3846055989,-0.29422997160000003,0.2440588662,0.21807747260000002
SRX6977212,0.15048410280000002,0.1551317767,-0.0309117965,0.0446351909
SRX6977213,0.234121496,0.1390981949,-0.21314706960000002,-0.2627126635
SRX6977214,-3.1281639666,-0.4060153515,-0.39514538390000004,0.23573169940000002
SRX1153733,0.47332487560000003,0.0437980075,0.1831441383,0.0870960743
SRX1153734,-0.47332487560000003,-0.0437980075,-0.1831441383,-0.0870960743
SRX1153735,2.4838920166,0.2058405289,-0.1003374077,-0.5189584420000001
SRX1153736,-1.6762090034,-0.1479585077,-0.0489066405,-0.5667947443
SRX5204053,1.5344045343000001,0.1223641862,-0.1152614403,-0.0914716639
SRX5204054,0.5116892705,0.0491450384,0.33069778580000003,1.1022593053
SRX5204055,1.5672715069,0.3768966735,0.0395780566,0.19634162160000002
SRX5204056,0.43013930710000003,-0.1455919629,0.0799160108,0.2495665894
