,A,GalS,GalR,Crp
SRX5694302,-0.40185152300000004,-1.0121674247,0.091993064,0.1490464558
SRX5694303,-0.7372260267,-0.7755981099,-0.06403562460000001,0.2623448043
SRX5694304,1.7129963282,0.26028697970000003,-0.3738961428,-0.22631582460000002
SRX5694305,3.0605451749,-0.8921752433000001,-0.6162780064000001,-1.9945889461
SRX5694306,-1.3312692623,-0.1398903926,-1.0367860971,-0.303318389
SRX5694307,2.9727243598,-1.7332016724,-0.0372105791,-0.9213934478
SRX5694308,-0.21221898190000002,-0.6180392895,-0.3966765152,-0.5542551321
SRX5694309,2.6440547229,-0.6234248786000001,-1.1198508037,-2.4371824129
SRX5694310,5.8504530832,-0.3140227559,-0.8249022074,-0.6975730314
SRX5694311,4.3877124049,-0.4676147994,-0.5284441383,-2.788252041
SRX5694312,-2.011823597,-1.3987263484999999,0.017259025900000002,-0.46271994780000003
SRX5694313,5.1924575789,1.063746264,0.15361029340000001,-1.0117169578
SRX5694315,-0.3091570099,-0.1636473243,0.42703680390000004,-0.1729404675
SRX5694317,1.3688287991,1.2736099151,0.9897881277,0.2138522692
SRX5694319,-1.8295348976999999,-0.6265162314,-0.20015757250000002,0.22403181360000002
SRX5694320,3.1043902699,-2.6803948094,-2.7054845053000003,-0.09237995040000001
SRX5694321,1.3642374937000001,0.6889861788,-0.6886444373,-0.38942819040000004
SRX5694322,0.7891816115,-2.5801360138,-0.0569431897,-1.1362642293
SRX5694323,4.1182791779,0.8814732163000001,-0.5918925949,-0.41342659340000004
SRX5694324,1.1189653284,-1.179888593,-0.19874432090000002,-1.6036324816
SRX5694325,1.7590946244999999,-1.4802938732,-0.6094552054,-0.5104274184
SRX5694326,-1.1111226882,-0.31479801830000004,-0.7318422045,-0.1584196907
SRX5694327,5.318515208,0.0487252971,-0.9137377999999999,-0.6589226995
SRX5694328,-1.6334475783,-0.5823353814000001,0.1636843162,0.1764471632
SRX5694329,1.1411217166,0.5825094217,-0.6458462074,-0.5799739837
SRX5694330,0.6280601278,0.4790960173,0.6587265503,-0.6950204566
SRX5694331,0.0612339061,0.07644675940000001,0.3957562254,0.245553549
SRX5694332,2.4704224719,0.8570779708,0.0352239498,-0.24882076420000002
SRX5694334,0.6646475924,0.0494002469,-0.3823235343,-1.0972302127
SRX5694335,6.0832714844,0.1539535789,-0.3169287859,-2.0210704043
SRX5694336,2.8992196058,-1.1689570546999999,-0.7365780646000001,-1.6584843203
SRX5694337,-1.3041339772,-0.0862834581,-0.561513469,-0.2397944182
SRX5694338,-0.5979276701,0.36893824950000004,0.6923183215000001,0.1989831632
SRX5694339,-1.5681913191999999,-0.9053840172000001,-0.1126020479,0.10670366340000001
SRX5694340,-1.9270215989000001,-0.11174800780000001,-1.7123614079,-0.1227589166
SRX5694341,2.9189450157,-1.2828728153,-0.9899803436000001,-1.4531793695
SRX5694342,2.513868885,-1.3523002827,-0.8666779052,-1.642695013
SRX5694343,3.1489375279,0.8376004876,0.3012118201,-0.659556922
SRX5694344,-0.4455259555,-0.3582646614,-1.0749719883,-0.5482364304
SRX5694345,-0.49324682680000004,-0.38854733820000004,0.07256382310000001,-0.1455592358
SRX5694346,4.7881580117,1.3477148321,-0.9095984816,-0.6506498564000001
SRX5694347,-2.1571757413,-0.2758625634,-0.8335215144,-0.0665078507
SRX5694348,0.3352247439,1.2294791176,0.8283931117000001,0.0163008612
SRX5694349,-0.2413827698,-0.0683340897,0.8311494674000001,0.3281616036
SRX5694350,4.2259141198,-0.2056560643,-1.2368128835,-1.3897674496999999
SRX5694351,3.264412179,-1.3121503747,-0.35934428160000004,-0.94657928
SRX5694352,0.7754572167,-0.2731853058,-1.1114315969,-0.11358356480000001
SRX5694353,-1.2735855792,0.010955254900000001,-0.216616245,0.2090437913
SRX5694354,0.6138296102,1.23449934,0.9407943142,0.156288703
SRX5694356,-2.3017268978,-0.5373769773,-0.287620749,0.1914919696
SRX5694357,3.1560580403,-1.8211567558000001,-0.849547845,-1.6521756011000002
SRX5694358,4.0645292488,-2.8298240554,-2.5998680441,-0.2527058608
SRX5694359,-3.4810956894,-0.0516801141,0.42698670400000005,-0.30657057660000003
SRX5694360,-3.3011518298,-0.3416136562,0.2382254464,-0.2669976047
SRX5694361,1.1033176383,-2.0074163293,0.0770130981,-1.0307723459
SRX5694362,-2.6779722482,0.1817264107,0.4510184947,-0.0309958632
SRX5694363,-0.9568773428,0.0368240085,-1.0909518383,-0.3804310446
SRX5694364,3.619001633,-0.4747397713,-0.6291503571,-2.3462003852
SRX5694365,-0.8608163697000001,-1.2127123406,0.4427004746,-0.6041545277
SRX5694366,-2.4181136025,-0.8512507988,-0.2399273757,-0.054980210200000004
SRX5694367,2.4640828006,-1.2360098168,-0.47025522940000003,-0.7076949831
SRX5694368,-1.275752311,-0.700003519,-0.2438487459,0.1102525246
SRX5694369,-2.2836417355,0.376064654,1.162662074,-0.0590977866
SRX5694370,4.2082422921,0.0929886746,0.10371712550000001,-0.22081801820000002
SRX5694371,1.9600553563,-0.8561895509,-1.095402008,-2.3057897995
SRX5694372,-2.4700760806,-0.0873046089,0.22782886730000002,-0.3165443482
SRX5694373,3.9894316205,0.0809546464,-0.8452472331,-1.5399098517
SRX5694374,3.7418183535000002,-2.4721909455,-3.1958599902,-0.3411830033
SRX5694375,-0.6802370062,0.7643922094000001,-0.0759803562,-0.0340696975
SRX5694376,-0.15448785310000002,-0.9409153184000001,0.237609389,-0.31705369640000003
SRX5694377,3.8433555843000002,-1.8931649688,-2.5150622240000002,-0.5697764494
SRX5694378,-2.9774614596,-0.1823982099,0.5615360134,-0.31765341210000003
SRX5694379,-2.2262215316,-0.2416086883,-2.0416572056,-0.25011430100000004
SRX5694380,4.2043255875,1.2388155339,-0.6166708418,-0.8373204843000001
SRX5694381,4.5264865833,-1.0868244492,-0.9333808482,-1.2728116676
SRX5694382,-0.3650505325,-0.1431282629,-0.1129866335,-0.025511662
SRX5694383,-1.2364308276,0.7285268902,-0.16861802180000002,0.1480773849
SRX5694384,-1.0941308445,-0.1549409485,0.2968457859,0.1439389809
SRX5694385,-1.0847932222,0.41477319700000004,0.8050811695000001,0.0779751018
SRX5694386,6.3096570963,-1.1227293254,-0.45844954400000004,-2.8414442095
SRX5694387,-1.7278242714,-0.6057378562,-0.19464512080000002,0.0426535923
SRX5694388,1.3949868294,-1.7648412123,-0.1152152221,-1.6022828696
SRX5694389,-2.5996832067,0.45255185000000003,-1.2191208617,-0.0800003088
SRX5694390,-0.7995671240000001,0.7033751292,0.046745729800000003,0.0001683552
SRX5694391,0.1471471653,0.8551942766,1.112621727,0.1315329539
SRX5694392,-2.4144877941000003,0.2694212485,-1.1129108342,-0.1486598298
SRX5694393,-1.3926439188,0.23069069080000001,0.41373764430000004,0.232671539
SRX5694394,-0.105974144,0.9383657851,0.7162617255,0.2168248136
SRX5694395,-1.6309540668,-0.2971006772,-0.9716614809,-0.3791651303
SRX5694396,2.7849603917,-1.6152371102,-0.7044768322,-0.8353134788000001
SRX5694397,2.0493499441,0.40471303350000004,0.2636812042,-0.0202364792
SRX5694398,1.1824679429,0.3423811634,0.4292760792,-0.0607073754
SRX5694399,-2.0951246837,-0.09872440960000001,-1.0233498747,-0.2527744328
SRX5694400,-2.1848014086,-0.3868233856,0.1603507058,-0.1981004934
SRX5694401,-1.2374747088,0.5153644677,0.8823709712000001,-0.021523506600000002
SRX5694402,6.9933162963,-0.5222531748,-0.5181736396000001,-2.6700349591
SRX5694403,4.3341642352,-0.8888396491,-1.4115978837,-0.9103162108
SRX5694404,0.41118996020000004,1.2251853481000001,0.8590606642,0.0943710534
SRX5694405,0.8396614099,0.0363817231,-0.0977682455,-0.1829334597
SRX5694406,-0.39578238990000003,-0.47741426600000003,-0.6904963546,-0.3972091841
SRX5694407,-0.9109095231000001,0.1271616911,-0.655867626,-0.2638287498
SRX5694408,0.25684627460000004,-0.3213245783,-0.7742252301,0.0417388443
SRX5694409,6.2311445526,0.06901165670000001,0.46066664290000003,-2.2693012292
SRX5694410,-2.221247706,-0.8395577357,0.4906991727,-0.1972134109
SRX5694411,2.2579785712,-0.9117001657,0.4804382746,-0.8663395759
SRX5694412,-0.2785240258,-0.1797916001,0.675083485,0.1259657223
SRX5694413,2.0598835972,0.8839104691,0.5559067038000001,-0.6476176532
SRX5694414,5.3007688836,-0.5549366520000001,-0.9750077169,-1.42088019
SRX5694415,-0.5922801736000001,0.393153095,0.1759475398,0.007690172800000001
SRX5694416,-0.18530453300000002,0.0191419827,-0.0221350487,0.0575483496
SRX5694417,-2.1548565619,-0.614800989,0.18758522300000002,0.2665585241
SRX5694418,3.2911314396,-0.9166214699,-0.9667048317,-1.9463157999
SRX5694419,2.5927951577,-0.5448291727,-1.0512225353,-1.5689931018
SRX5694420,0.0870020277,0.2313790013,-1.160250431,-0.0638843971
SRX5694421,0.84097759,-0.5249311376,-0.8416445994,-0.6176702001000001
SRX5694422,-0.2646015114,-0.3708281827,0.24231899010000002,-0.058214080700000004
SRX5694423,-0.9250535723000001,0.0423039956,-0.9467997861,-0.3208467193
SRX5694424,2.566399101,-0.5316670744,0.023056713200000002,-0.3043319677
SRX5694425,-0.7491520167,0.5613914479000001,0.9967067764,0.2263080572
SRX5694426,0.44462573250000004,0.2984593682,-0.22439257940000001,-0.6604587882
SRX5694427,-0.37899511210000003,0.3496488164,0.0812822934,0.1652363888
SRX5694428,-1.1479818081,0.3453762065,1.1588859578,0.073808526
SRX5694429,2.068600027,-1.6186810425,0.09866289900000001,-1.4421129371
SRX5694430,-0.694143825,0.1261288452,0.0414600363,0.0124821121
SRX5694431,-0.6310750718,-0.5039429969,-0.8927422388,-0.0624036472
SRX5694432,-2.1639384091,-0.054787494000000006,0.5342731759,-0.3304413054
SRX5694433,3.5130796479,0.49193637360000003,0.209724189,-0.8187488844
SRX5694434,4.1968938749,-0.043731152,-0.21008245590000002,-0.6212632720000001
SRX5694435,3.3916918858000003,-1.3853457552,-1.1680964569,-2.0377494386
SRX5694436,6.3986045879,-0.061919554200000004,0.2752299465,-2.3919325405
SRX5694437,0.9228521242000001,-0.9538236932,0.6272698255,-0.2507206522
SRX5694438,-1.8608758705000001,0.6608479874000001,0.0273917291,0.07346573220000001
SRX5694439,2.5119240218,-2.0209182075,-2.1572705035,0.3143882568
SRX5694440,-0.5334814931,-0.9384664037,0.1933432133,0.1617989176
SRX5694441,0.33798793580000003,0.0228404171,-0.6767193467,-0.4081937196
SRX5694442,1.6072784936,-1.6484105149000001,-0.2142305746,-1.7002395932
SRX5694443,-2.1149954829,-0.5418739715,0.8142669194000001,0.1538530863
SRX5694444,-0.9213977193,0.5941922184,0.06363920120000001,0.1414549701
SRX5694445,3.0988152966,-0.5019872885000001,-0.5326673922,-1.7943494913
SRX5694446,-0.6726078059,-0.4411828492,-0.1983307877,0.2193526747
SRX5694447,-2.0950209776,0.5485610577,0.0522188005,-0.3849941899
SRX5694448,0.1721614133,-0.503096461,0.47837384600000005,-0.732440443
SRX5694449,-0.1750233497,-0.4234010152,-0.23895381100000002,0.1017285234
SRX5694450,-2.5376384054,-0.8591098101,-1.1325327698,-0.2163555027
SRX5694451,0.6068204746,-0.1366420029,0.5867587533,-0.1832599433
SRX5694452,2.6637449789,-1.8841838614,-0.8365510947,-0.9702752261
SRX5694453,2.0904164610000002,-1.5268666013,-0.2580169064,-0.7029806271
SRX5694454,-1.6594048756,0.2475866236,0.3269428419,0.2689052974
SRX5694455,1.5510240813,-1.2641235305,-0.6656606481,-1.7485042558
SRX5694456,-0.0255338203,-0.2466784581,0.5178833449,0.2638014382
SRX5694457,-1.4263882389,-0.16932924470000002,-0.11878830480000001,0.1813226141
SRX5694459,-0.7379183513,0.0714417244,-0.4860956926,-0.0659537084
SRX5694460,3.6869071953,-0.8956731921000001,-0.3649939779,-2.6935232182
SRX5694461,-2.5838341693,-0.0149009706,0.528524726,-0.24608755940000002
SRX5694462,1.2330679404,-0.17073600790000001,-0.6141086357000001,-1.4072956342
SRX5694463,-0.0253818827,0.7263846704,-0.16575871920000002,0.13500124700000002
SRX5694464,-2.6624287052,0.2396958858,0.13277716820000002,-0.16266356510000002
SRX5694465,-1.8858024718,-0.4460241648,-0.8790254258,-0.08100398930000001
SRX5694466,0.0818626855,-2.3052672792,0.6297967118000001,-0.0203257193
SRX5694467,-0.9479732563000001,-0.2967763464,-0.381245233,-0.0864598209
SRX5694468,3.1615811108,-2.1555708273,-2.0190085846,0.09512308080000001
SRX5694469,-0.1769091777,-0.7007847265,-0.1175500542,0.056592892000000006
SRX5694470,-0.3883852284,0.0728171195,-0.07293467590000001,-0.0203162279
SRX5694471,1.5109318239,-0.7865205365,0.4620222108,0.08127249760000001
SRX5694472,1.5513061212,0.2383401345,-0.2669518915,-0.42764759150000003
SRX5694474,2.5675391148999998,0.1552492532,-0.052164359800000004,-0.3318785326
SRX5694475,-2.061727475,-0.1072620861,0.6894553979,-0.1072682971
SRX5694476,-0.0383995159,-0.1807701836,1.1844381929,0.2832759084
SRX5694477,0.8730493361,-1.3747949457,-0.5423741486,-2.220698214
SRX5694478,-3.585959356,0.3998087169,-0.9772397304,-0.324421403
SRX5694479,6.0240392462,-0.1187171644,-0.5030706589,-2.078741852
SRX5694480,4.7168315096,0.7774112665,-0.5785447574,-0.8986833081000001
SRX5694481,-2.1294327754,0.179788307,0.32802660180000004,-0.39061972300000003
SRX5694482,-2.4092828603,-0.4177452367,-0.0309262449,0.5302146851
SRX5694483,-1.7482570499999999,-0.0512467189,-0.1154229715,-0.0648156579
SRX5694484,-2.2178493116,-0.0516292292,0.3163712736,-0.2015433442
SRX5694485,0.4460976491,1.2136211856,0.9233580022000001,0.0561230447
SRX5694486,-1.8658455169,-0.0727572927,0.5076538288,0.1840419059
SRX5694487,-2.9827140308,-0.2075065812,0.7554596522,-0.0687134662
SRX5694488,0.6225469969,-0.0409552784,0.3210318231,-0.0029101905
SRX5694489,3.8700868049,-0.0515215476,0.1700228848,-0.2414092729
SRX5694491,-1.2068023691,-0.8704810971,-0.1881893615,-1.3992598427
SRX5694492,-0.052720957400000004,-0.6734784193000001,-0.1474239863,-1.4757436121
SRX5694493,3.2703195958,-1.4917044767,-0.6696042787,-1.5239909109
SRX5694494,0.0103533818,-0.1134463783,0.0998956208,-0.5778881676000001
SRX5694495,-0.42698994490000003,0.5006030134,0.1921408101,0.2383405456
SRX5694496,-1.1290072077,-0.1543640779,0.2292901235,0.2231626615
SRX5694497,2.8211746324,0.4257224966,-0.3495639089,-0.6145709097000001
SRX5694498,-0.3757139075,-0.005571594,-0.4289783092,0.0065499987
SRX5694499,1.1607341706,-1.5619853027000001,0.4897877446,-0.2166458346
SRX5694500,-0.7523531343000001,-0.2019331202,-1.3723969989,-0.6082655704000001
SRX5694501,-2.0834037072,-0.33262448450000004,0.5041511772,0.012213341
SRX5694502,2.240472396,-1.042170488,0.34346276140000004,-0.8489028276
SRX5694503,-0.4691139695,-1.3834976159,0.1835257191,-1.5276697252
SRX5694504,-0.8701910626,0.1370642775,0.39533948830000004,0.23647347670000002
SRX5694505,5.0858380253,-0.3606479117,-0.5558274022,-2.8546736802
SRX5694506,-1.0631181904,0.323422345,-0.1374420601,-0.6676717403
SRX5694507,-1.0988272735,-0.1513083194,0.1737985092,0.10364661430000001
SRX5694508,3.5419217587,0.056255573600000004,0.0989118782,-0.8174938777
SRX5694509,4.3993622808,-0.1395091588,0.1818615718,-0.1972418484
SRX5694510,-1.0586310412,0.1993571291,-0.0375581272,-0.2550231206
SRX5694511,-0.3884817514,0.6471928451,0.0276026408,-0.1637807405
SRX5694512,0.0241531149,-0.8063197201000001,-0.3219314668,-1.3135012281
SRX5694513,5.6406217999,1.3589596249,-0.7353380169,-1.2176583871
SRX5694514,3.3604453309,-0.966021333,-0.513058091,-2.7449780099
SRX5694515,1.2645941121,1.327846193,0.8565032087000001,0.1674650962
SRX5694516,3.2375840271,-1.6286086783,-2.3696026006,0.7184192778
SRX5694517,0.6020605696,0.2466347971,0.8790731123000001,-0.0899811296
SRX5694518,-2.7413215294,-0.1953733885,0.5249985556,-0.0284053616
SRX5694519,3.0372797496,0.7942043834,-1.7366981283,-0.4440190169
SRX5694520,-1.1322236267,-2.4762617008,0.1242396003,-0.3742459546
SRX5694521,-0.3389468283,-0.10248259180000001,0.2701413978,-0.0823108953
SRX5694522,0.6973705791,1.2959334794,0.765807768,0.19009073370000001
SRX5694523,-0.2982195778,0.2828649821,0.9893319012,0.1230572979
SRX5694524,2.9524950867,-0.1943459685,0.2226830187,-0.3090692798
SRX5694525,-2.9581869623,-1.1929780283,0.10510721690000001,0.1271493457
SRX5694526,0.5318827623,-0.7905624798,-0.9805286205,-0.057352962300000004
SRX5694527,0.2345610737,-0.3811734652,-1.1177292992,-0.7911037301
SRX5694528,6.7656403734,0.2950249186,-0.7989721808,-2.2550692285
SRX5694529,-0.21265035670000001,0.8108930957,0.9989504949,0.09459037740000001
SRX5694530,2.3096880366,-0.0853109875,0.4988976176,-0.3417330189
SRX5694532,4.8636651375,-0.1679254369,-1.2215717903,-0.7655932475
SRX5694533,0.8794267099,-0.7896439734,0.5680895446,-0.8230648089
SRX5694534,2.052047668,-1.3208644929,0.3247457114,-1.0244460877
SRX5694535,-3.2742291677,0.2057284748,0.3259218437,-0.3020521984
SRX5694536,0.6003217288,0.6314235366000001,0.4272285961,0.0940214917
SRX5694537,-1.1102563351,-0.6062469095,0.1946738757,0.0455558508
SRX5694538,-0.8286383788,-0.2006593669,0.7169767891000001,0.22416250880000002
SRX5694539,-3.3276085262,-0.09578692820000001,-1.1947744597,-0.4554145486
SRX5694540,3.16113706,-0.7658781965,-1.3823431072,-0.9496879326000001
SRX5694541,-1.2270797823,0.0684108435,0.23587952610000001,-0.14394191280000002
SRX5694543,2.7794396062,-1.8669835811,-2.3065529896,0.257330798
SRX5694544,-1.4925706114000001,-0.3241793398,0.27371490200000004,-0.3373228733
SRX5694545,-1.3348447753000001,0.5691366547,-0.052456380000000004,0.035948117
SRX5694546,2.6209237063,-0.6082903837,-1.4489249573,-0.3182627866
SRX5694547,0.17295417230000001,0.0700277422,-0.3671803417,-0.1118469182
SRX5694548,0.5736897613,-0.0919591022,0.0950697246,-0.0372321217
SRX5694550,3.1010224204,0.8588177159,-0.6664213703,-0.4922607946
SRX5694551,-3.8237115645,-1.5313943514,-0.0378145052,-0.4416388787
SRX5694552,-1.6847410019,-0.0956123478,-0.8990927079000001,0.0105278607
SRX5694553,-1.289406859,0.5948870322,0.5438108157,0.2876777482
SRX5694554,0.9019644337,-0.21493606380000002,-0.3391582252,-0.1645882529
SRX5694555,-0.6070011278,-0.8895291200000001,-0.11727866390000001,-0.8421746734000001
SRX6072760,8.3870853934,0.7840109540000001,-0.6496883482,-0.7797289048
SRX6072761,4.0783038465,-0.8936644898,-1.0724867966,-0.9412126322000001
SRX6072762,9.6631317126,0.30125578000000003,-0.6986029214,-0.555678611
SRX6072763,9.5357284187,0.9505546971000001,-0.16647185750000001,-0.38526479500000005
SRX6072764,3.0721059379,-0.43417407010000003,-1.0264984515,-1.0984957077
SRX6072765,9.700437043800001,1.2423424909,-0.0673377569,-0.4458656036
SRX6376491,1.6304134811000002,0.9821607661,-0.5253993991,-0.23661516940000002
SRX6376492,3.5250766215000002,-0.8564609149,-0.4679378743,-1.8181327083
SRX6376493,3.1351437901,-1.2139210103,-0.4921461147,-2.037821897
SRX6376494,5.2261983289,-0.1478363741,-0.4521089775,-2.2059426753
SRX6376495,1.8308112386,0.8389261042,-0.0383185468,-0.4792645071
SRX6376496,0.6444696751,0.684754964,-0.8455681813,-0.054275376300000004
SRX2723951,2.1343378438,0.9340825896,-0.2671145351,1.2971935035
SRX2723952,5.0462713214,1.8629591725,0.2818636903,2.020927993
SRX2723953,0.7148848898,0.7854699298000001,-0.164605532,0.5760517667
SRX2723954,11.9446238834,4.8954408995000005,1.0882622327,2.383091682
SRX2723955,9.0494283283,2.5357595915999998,-0.7326562149,1.2512872247
SRX2723956,-0.0809143943,0.6677616359,0.4789707796,1.4331106707
SRX2723957,-0.0855355763,0.09150537730000001,0.0619862604,0.1517886605
SRX2723958,-0.9148543417,0.24760657700000002,-0.5849855857,-0.2646015759
SRX2723959,1.0424511401,0.0175851801,0.0235206207,0.256464884
SRX2723960,0.6103625826,0.1097350712,0.6474114508000001,0.9591927252
SRX2723961,8.6725760821,4.0724692066,1.7246640407,2.5388323397
SRX2723962,0.8930050513000001,-0.1159730848,0.2146722275,0.9744724369000001
SRX2723963,0.2958696803,-0.046271064300000005,-0.489457998,-0.30103145470000003
SRX2723964,10.2423318678,3.4504710457,0.5314690178,1.2020478367
SRX2723965,1.8272794113000002,0.4743579719,0.1613653022,0.7380002376
SRX2723966,-0.2412787023,-0.1575663397,0.1772995578,0.0829169912
SRX2723967,0.2114358356,0.1883275238,-0.11412350580000001,-0.075921268
SRX2723968,0.0298428667,-0.0307611842,-0.06317605200000001,-0.006995723200000001
SRX6977206,-6.2194315174,-2.2454115538,-1.8249200459,-0.2546401567
SRX6977207,-7.277084202,-2.4420330792,-1.5641210505,-0.30518404320000003
SRX6977208,-0.258204726,0.2495445533,0.306314138,-0.5181824078
SRX6977209,-3.0082945238,-1.2329849014,0.28701071910000003,-0.675081557
SRX6977210,-3.0415313164,-1.1038739435,0.3608568042,-0.7835359689
SRX6977211,-0.7788157385000001,-1.1453926023,-0.3097759825,0.2440588662
SRX6977212,-0.0748961053,0.35765365330000004,0.3050074018,-0.0309117965
SRX6977213,0.8537118438,0.7877389491,0.0047685806,-0.21314706960000002
SRX6977214,-7.036586125,-2.7760308361,-2.3503687422,-0.39514538390000004
SRX1153733,-0.4101135738,-0.07562251190000001,0.15814724030000002,0.1831441383
SRX1153734,0.4101135738,0.07562251190000001,-0.15814724030000002,-0.1831441383
SRX1153735,-1.4490430794,-0.1418283511,-0.078161599,-0.1003374077
SRX1153736,-2.556488777,-0.7790285589,-0.26234808,-0.0489066405
SRX5204053,1.2003122188,0.1926189923,-0.8383763238,-0.1152614403
SRX5204054,-3.8821456772,-1.1792364017,-0.1778054328,0.33069778580000003
SRX5204055,0.2091617794,-0.2083861387,-0.7617552542,0.0395780566
SRX5204056,-1.2687514367000001,0.2461106912,-0.0874574183,0.0799160108
