,A,ArcA,Fnr,Crp,ihfB,Fur,RpoS
SRX5694258,-0.0974429963,-0.8093510237,-0.3784852643,-0.2857852433,0.3294536628,0.2926141826,-0.34416743510000003
SRX5694259,-4.4655185903,-1.223874242,0.3019332691,-2.9247054987,-1.0253066066,0.14519100170000002,-0.4766743304
SRX5694260,3.4745327314,-0.20132201460000002,0.0320312785,0.0899715865,-1.1929652783,-0.0246486099,0.2482267076
SRX5694261,5.0068810299,-0.38609345780000004,-2.6112045671,-1.6070723407,0.8805616572,-1.6263367794999999,0.022944085000000003
SRX5694262,-0.5666630712,1.2331627263,0.2482154852,-0.5390842036,1.9132335694,-0.8044302194,-1.1664088354
SRX5694263,5.8394390759,-0.4496263185,0.0230880885,-0.0980165268,-1.1279696429000001,-0.0720290764,0.2455560166
SRX5694264,2.5761991619,-0.5000365137,0.3075812793,0.2016373309,-0.9605612867000001,0.463461864,-0.7270261651000001
SRX5694265,-3.9199115317,-0.9224545732,-0.7038356709,-0.2490351859,-0.7856317823000001,-0.5470965469,0.1246632279
SRX5694267,-0.1403938378,-0.31040230480000003,-0.2244639849,0.0411821817,0.10447339950000001,0.30733720410000004,0.17891339180000002
SRX5694268,6.3623821198,-0.1547312355,0.32801548280000004,0.0231238538,-1.1566112913,-0.2169944251,0.8690290136000001
SRX5694269,1.9600504896,-0.7734435138,-0.0363903054,0.0476350313,-0.5151260577,-0.0938650437,0.1019266675
SRX5694271,0.5888871027,-0.2452190206,0.1539794799,0.24713669740000002,-0.3442757495,0.2777125167,-0.159521414
SRX5694273,-2.0147519991,-0.6604458461,-0.315089026,-1.5465123927,-2.3813583609,-0.7033619888,-0.7117395496000001
SRX5694274,1.3150817913,-0.36638296740000004,-0.19593564700000002,0.2066153554,-1.0600417401,-0.2520653392,0.2200444192
SRX5694275,3.1619620888,-0.6634625427,0.1826918599,-0.5157335737000001,-2.7828060503,-0.7046253372,-0.24488367700000002
SRX5694276,-2.7111693197999998,-0.7503258015000001,0.6125076868,-1.8223907651,-0.938501404,0.0317203545,-0.6076757834000001
SRX5694277,3.5031278318,-0.1047583445,0.518483773,0.36042412560000003,-1.1086632386,0.233701549,0.4192586639
SRX5694278,0.3898433357,-1.0523870943,0.6077452839,-1.3002511837,-1.5186830960000002,-0.40180014550000004,0.3345453216
SRX5694279,-0.8592204974000001,-0.3908090648,0.7489705412000001,0.3379205155,-1.0835463994,-0.2256123391,0.9291638342
SRX5694280,6.1751056706,-0.6588512144,-1.2905505804000001,-0.6834405493,-0.2108301915,-0.0690208313,0.6945469896
SRX5694281,-0.11716202440000001,-0.796986874,0.4743514224,0.1656640608,-1.1932094615,0.0975378159,0.7728686116
SRX5694282,3.1235037472,0.6215221205,0.8302627999000001,-0.9934080376000001,0.5828825608,0.9722225077000001,1.381880559
SRX5694283,6.6171424968,-0.7357496835,-0.8002749045,-0.3443110079,-0.9701385051,-0.3926104231,0.8471900986
SRX5694284,4.3640004895,-0.8809856715000001,-1.6551107114999999,-0.9407234058,-0.8524414069,-0.011125823600000001,0.9445992575000001
SRX5694285,-1.9601589996,-0.332200824,0.21844817860000001,-0.0040549861000000005,-1.405760481,-0.1153333252,-0.101510944
SRX5694286,2.0139925858,-0.7032624132,0.0879280571,-0.1478341465,-2.0779262437,-0.43185484830000004,-0.39254390580000004
SRX5694287,7.6285047114,0.5471721956,0.8900785727,-0.1558928562,-0.1903310601,0.4129649769,1.6641543512
SRX5694288,3.411954725,-0.6750352942000001,-0.0313845657,0.2764607147,-1.0812140072,-0.2012607397,-0.6444778476
SRX5694289,1.9158154845,-0.7443126348,-0.4150383489,-0.14661147630000002,-0.026524093000000002,0.3114276031,-0.28779240840000003
SRX5694290,2.2932009895,-0.46151863260000003,0.2272209504,0.2201400917,-1.0022560843,0.4279505287,-0.6870264622000001
SRX5694291,5.5250926356,-0.6557503914,0.16806743940000002,0.1874058842,-1.7171008209,1.2267004369,-1.3007259393
SRX5694292,-0.0028416049,-0.6482476939,0.40832126950000003,0.0513472187,-0.8705550239000001,-0.1819792789,0.8062681238
SRX5694293,1.6742172032,-0.4793409832,0.0877333852,0.3866879371,-0.6341559143000001,0.0923447817,-0.4039469799
SRX5694294,-1.1723675229000001,-0.5675396422,-0.1654402185,-0.0602559214,0.5477587571,0.4137604635,-0.38068987460000003
SRX5694295,-1.1807436116,-0.034679769900000004,-0.12067474560000001,-1.4743546362,-1.3179166312000001,-0.0411889955,1.1971556762
SRX5694296,-0.1150792627,-0.3525345714,0.1613415464,-0.13444608700000002,-0.09633023900000001,0.4465032129,-0.0579672664
SRX5694297,-7.1474339431,-0.0338108436,0.257224454,-1.621907484,0.6487792296,1.1929509728,-1.1718080658
SRX5694298,-0.3554434832,-0.4064062229,0.047755995,-0.0376343135,-1.398343179,-0.24377161500000002,-0.0579887361
SRX5694299,-2.1361293847,-0.40150323260000004,-0.1308553567,-0.0810478849,-0.0548211138,0.1022267718,-0.0090804595
SRX5694300,4.2977067946,-0.4034077274,-0.3609283863,0.1296583874,-0.4764255264,-0.08204266710000001,-0.2858089984
SRX5694301,0.16601047030000002,-0.7157018740000001,0.20815252,0.2017965224,-0.9915859493,-0.40016228400000003,0.7487499111
SRX5694302,3.5419870474,-0.7166546285000001,0.0028938907,0.1490464558,-1.1529412139,-0.1309359008,-0.2880430808
SRX5694303,3.6615910788,-0.5501377366,0.11078089020000001,0.2623448043,-1.0626874924,0.0090969511,-0.4022624342
SRX5694304,4.0173611783,-0.3916451892,-0.2836689398,-0.22631582460000002,-0.9260874235000001,-0.1838030893,-0.102787711
SRX5694305,-1.6382238602,-0.7050130261,0.0804674744,-1.9945889461,-1.3048554744,0.46724588110000004,-0.5464442224
SRX5694306,-3.150421226,0.5643015045,-0.2221077391,-0.303318389,2.186138402,-2.4282303025,-0.7664779575
SRX5694307,2.0769357565,0.7962936861000001,0.6605546913,-0.9213934478,0.9100277827000001,0.9629089327,0.9269590489
SRX5694308,0.7049189024,-0.2826643938,0.030807355300000002,-0.5542551321,-0.8877531976,0.12368935310000001,0.0122038535
SRX5694309,-3.8953594979,-0.9324801713,0.1635488437,-2.4371824129,-1.5251338072,0.8900661546,-0.9940082433
SRX5694310,10.0753332092,-0.7154435960000001,-0.4774994905,-0.6975730314,-1.4504833334,-0.3167585807,2.0411292587
SRX5694311,-4.0556533606,-1.0549187552000001,0.0987552064,-2.788252041,-1.2200697843000001,-0.2278540168,-0.3039589573
SRX5694312,-0.5578345403,1.2063663425,0.2741965069,-0.46271994780000003,1.7775761065,-1.2068082598,-1.2338569192
SRX5694313,1.4592849604,0.24705451250000002,0.12295077100000001,-1.0117169578,-1.2855187251,-0.22732878210000002,1.5108161085
SRX5694315,6.9294785398,-0.8248140526000001,-0.3737381984,-0.1729404675,-0.8769879084000001,-0.6056212274,0.0882130678
SRX5694317,4.0251597641,0.0642004802,1.3424886167,0.2138522692,-1.2793691829,0.20430109170000002,1.863543381
SRX5694319,3.2386357165,-0.6773202813,0.09932130680000001,0.22403181360000002,-1.080054735,0.2181452225,-0.7670528724
SRX5694320,5.3808217864,-0.7345571464,0.0559133562,-0.09237995040000001,-1.4207421173,1.1462812854,-1.3988456439
SRX5694321,3.8910846215,-0.6457091890000001,-0.2242105774,-0.38942819040000004,-0.36320266970000004,0.3636055414,0.1389480637
SRX5694322,-0.37814994760000004,0.9416705114,0.41129122560000003,-1.1362642293,3.0734252999,0.4631088042,0.6382039402
SRX5694323,4.5294541313,-0.5853874625000001,-0.2049744387,-0.41342659340000004,-0.1474923579,0.2378312514,0.6371311275
SRX5694324,1.6792928119,-0.9406118542,0.1866328231,-1.6036324816,-0.8603384773,0.3246086132,0.5891552134
SRX5694325,8.0059374401,-0.28599873,-0.8589924069,-0.5104274184,0.0810143052,0.5482222344000001,1.1364192666
SRX5694326,2.4837201041,-0.6848857907,-0.18501779240000002,-0.1584196907,-0.8766338815,-0.010888811600000001,-0.1227754323
SRX5694327,8.9173237137,-0.619184327,-0.3986390476,-0.6589226995,-1.0401998064,-0.2638272614,1.842083342
SRX5694328,3.4586096466000003,-0.7077585323000001,-0.11461450370000001,0.1764471632,-1.1131732022,-0.036860092500000004,-0.3056609431
SRX5694329,-4.5778557219,-0.3164502813,0.1534325597,-0.5799739837,1.1241333731,1.0691590726,-0.36055310500000004
SRX5694330,3.7430593409,0.6378008244000001,0.4256416268,-0.6950204566,1.0533152899,-2.3252710335,-0.7452061929
SRX5694331,1.0039475142,-0.2497476536,0.1918842788,0.245553549,-0.2205498512,0.4110728621,-0.19376253370000002
SRX5694332,1.0961484145,-0.3739455369,0.2575678173,-0.24882076420000002,-0.9253991697,0.20007652210000001,-0.1069060403
SRX5694334,1.0484545608,-0.4412101766,0.7809611414000001,-1.0972302127,-0.6949207847000001,0.1010918916,0.1476735541
SRX5694335,0.4480325345,-0.5310190811000001,-1.0905972262999999,-2.0210704043,0.3662144094,0.3957199563,0.2184687528
SRX5694336,-2.7203275923,-0.45421179570000003,0.0295461953,-1.6584843203,-0.9221896544,0.3948733358,-0.3321838082
SRX5694337,5.2958221101,-0.305938729,-0.9098451584,-0.2397944182,-0.3053163494,0.3573052694,1.1410073011
SRX5694338,5.463538679,-0.6137315737,0.11093211330000001,0.1989831632,-1.4155199507,-0.4525821431,0.5042714405000001
SRX5694339,3.1405708247,-0.7445127357,-0.2660034833,0.10670366340000001,-1.0599211097,-0.0191556582,-0.7028224034
SRX5694340,3.1401302206,-0.440766099,0.1360391327,-0.1227589166,-1.4386345449,0.0293777617,-0.3897788184
SRX5694341,-0.6984436183,-0.1313631139,0.3253789217,-1.4531793695,-0.2803295697,0.9859149752,0.6749000182
SRX5694342,-8.9715521597,0.2026076278,0.33467356740000004,-1.642695013,0.6293734383,0.6808311431,-1.0340379245
SRX5694343,-1.4610027013,-0.7345121231,-0.7654036895,-0.659556922,-0.2010869699,0.5317095390000001,-0.5313228746
SRX5694344,-4.0631444892,-0.33577681130000003,0.0720316185,-0.5482364304,1.2525770415,0.9360842386,-0.3395083618
SRX5694345,2.1856073833,-0.3764485198,-0.1127364899,-0.1455592358,-0.2896248806,0.0201775326,-0.0744392624
SRX5694346,3.3054970048,-0.9055701749,-0.1452747475,-0.6506498564000001,-0.5997892775,-0.1146899157,-0.17103448070000002
SRX5694347,0.772751976,-0.7128745584,-0.2103049645,-0.0665078507,0.1237988565,0.2708414096,-0.3425261498
SRX5694348,3.8434786073,-0.3365434024,0.6194313426,0.0163008612,-1.5734086149,-0.1572171319,0.7875061899
SRX5694349,5.5078536424,-0.9118016409,-0.0340580552,0.3281616036,-1.8638919299,-1.0886919379,0.12003723670000001
SRX5694350,-2.2103114288,-0.2723243866,-1.5589165824,-1.3897674496999999,0.6829585180000001,0.144184582,-0.7659405174
SRX5694351,3.4338441158,0.7195692725,0.2389667466,-0.94657928,0.9236742301,1.3811692108,0.7263733076000001
SRX5694352,1.6394243153999999,-0.7211493992,-0.1301723133,-0.11358356480000001,-1.7925095215,-0.114163683,-0.6013224671
SRX5694353,1.579831742,-1.1035471096,0.0567992999,0.2090437913,-1.0856227286,-0.011465710300000001,-0.8785134040000001
SRX5694354,6.2632093543,-0.8090334449000001,0.4463184544,0.156288703,-1.5969538419,-0.5847029634,0.7901452873
SRX5694356,0.49566506,-1.0282208658,-0.011770757000000001,0.1914919696,-1.1365814194000001,0.055385097200000004,-1.0691180943
SRX5694357,-8.7093385511,0.1033229876,0.4703427457,-1.6521756011000002,0.9335471945,0.9606707476,-1.224876475
SRX5694358,6.0783530875,-0.989631354,0.7891519738,-0.2527058608,-0.9001345086,1.2914517682,-0.8674783247000001
SRX5694359,2.2576560052,-0.6898793059,0.0823465979,-0.30657057660000003,-1.5787237146000002,-0.2855045002,-0.5275191918000001
SRX5694360,2.1834517388,-0.9385224537,-0.21446519260000002,-0.2669976047,-1.5363409356000002,-0.638620278,-0.5277439766
SRX5694361,0.09322327920000001,1.0977147786,0.5545946817,-1.0307723459,3.3245249795,-1.5132484745,0.5715646187
SRX5694362,1.5943143041,0.36099427310000004,-0.1556899832,-0.0309958632,1.3672523569,-1.9652494854,-0.4801473545
SRX5694363,0.13182905720000002,-0.600790616,0.40866825960000003,-0.3804310446,-0.2511288672,1.2542890818,-0.2058316979
SRX5694364,-2.1064397568,-0.5144488377,-0.0307498051,-2.3462003852,-1.2241393744,0.7876454059,-0.4031858943
SRX5694365,-1.6601681099,1.4841765936,1.8984960352,-0.6041545277,2.2712715973,0.8906258525,0.5258567861
SRX5694366,1.6700421578,-0.7392321765000001,0.11935505780000001,-0.054980210200000004,-1.1236160881,0.2089985611,-1.0791491496
SRX5694367,6.9036504727,-0.2944956992,-0.7716038602,-0.7076949831,0.16848949670000002,0.5213602361,1.1625349641
SRX5694368,0.4208291075,-0.8669199153,-0.1062377801,0.1102525246,-1.2601444012,-0.018460327500000002,-0.3946522053
SRX5694369,-1.1408540734,-0.5948867843,-0.0429042057,-0.0590977866,-1.4558741109,-0.1647844436,0.0892968809
SRX5694370,7.6451053646,-0.5244472115000001,-0.1697118587,-0.22081801820000002,-1.5760854295,0.0016327890000000002,0.3895898545
SRX5694371,-3.0352702397,-0.786795397,-0.046749594000000005,-2.3057897995,-1.4715961776,0.8165281951000001,-0.9798657269000001
SRX5694372,1.6908377605,-0.5681068862,0.060263538500000005,-0.3165443482,-1.5589412839999999,-0.3342762494,-0.3558929129
SRX5694373,-1.5723537966,-0.6737367768,-1.4686879149,-1.5399098517,0.3994912939,-0.0047591478,-0.3203433341
SRX5694374,3.1088600751,-0.9874018292000001,0.2258676651,-0.3411830033,-0.9678017240000001,0.7615916478,-1.8907045999
SRX5694375,1.5064450019,-0.704628555,-0.0180107938,-0.0340696975,-0.9608040567,-0.23131398720000002,0.5235856839
SRX5694376,1.6869285109,0.6390051229,0.12440957970000001,-0.31705369640000003,1.2447894583,0.6436264924,-0.6960164566
SRX5694377,4.6230836783,-1.119492052,0.7205527484,-0.5697764494,-1.191436742,0.7703477697000001,-1.5270626442
SRX5694378,3.9768771284,-0.5892935844,-0.064859922,-0.31765341210000003,-1.9337324817,-0.5006761838,-0.4634139386
SRX5694379,4.8721443302,-0.7488069058,-0.0946227506,-0.25011430100000004,-1.1366547883,-0.2285719789,-0.5227460333
SRX5694380,-1.092498162,-0.9849220242000001,-0.1504039911,-0.8373204843000001,-0.7399595053,0.1261078601,-0.6079369570000001
SRX5694381,-5.0211579645,0.0536946161,1.0932260792,-1.2728116676,0.923138631,1.5005765341,-0.5831907388
SRX5694382,-0.7524577888,-0.4765596486,-0.3495048284,-0.025511662,-0.6534829936000001,0.49058279860000004,-0.5897015176
SRX5694383,0.6345702901,-0.9315031237,-0.19216870800000002,0.1480773849,-1.1495585992,-0.5617845917000001,0.33302975900000004
SRX5694384,0.812216759,-0.306814501,0.2508705046,0.1439389809,-0.3206835072,0.28859365800000003,-0.17128217310000002
SRX5694385,1.4787656288,-0.14971446900000002,1.0236963855,0.0779751018,-0.8808770448000001,0.49805841980000004,0.6983107852
SRX5694386,-0.5546944588,-1.7867935451,0.8645055481,-2.8414442095,-2.0232756272,-0.7357423173000001,-0.047770770600000005
SRX5694387,2.2278696799,-0.5907873538,0.1051428429,0.0426535923,-1.1867332256,0.1905704846,-0.7783978846
SRX5694388,1.3262445512,-0.8765617776,0.2708431966,-1.6022828696,-0.9006154946,0.4894669426,0.5795485447000001
SRX5694389,0.0274952945,-0.5076306448,0.2606390819,-0.0800003088,-1.631366638,0.0464077509,-0.4604892508
SRX5694390,0.29536446580000003,-0.9455588033000001,0.3504676022,0.0001683552,-1.033868219,-0.1638455209,0.5469985911
SRX5694391,4.2573822137,-0.0546648603,1.4535275098,0.1315329539,-0.7600665551,0.2652531168,1.9391797668000001
SRX5694392,-1.6585991448000001,-0.7995883998000001,0.0944210472,-0.1486598298,-0.4911206664,-0.0643523617,-0.18206983540000002
SRX5694393,0.7298724399000001,-0.2305797444,0.2067024995,0.232671539,-0.30821672310000003,0.4487898696,-0.2625622673
SRX5694394,0.3995200732,-0.2681092712,0.5219782296000001,0.2168248136,-1.1953659872,-0.1239980744,0.6362886964000001
SRX5694395,0.3615607987,-0.6702235864,0.5121052174,-0.3791651303,-0.137280135,1.3081476157,-0.24292153970000002
SRX5694396,3.8256430834,0.8816852332,0.28659288180000003,-0.8353134788000001,1.2171043994,1.4076040301,0.6048608691
SRX5694397,9.3761810147,-0.8235027764,0.2130377387,-0.0202364792,-1.5275886062000001,-0.5370945714,0.7306458363
SRX5694398,6.7366269048,-0.4419145841,0.1522575818,-0.0607073754,-1.9308061206,-0.6547982996,0.47634399800000005
SRX5694399,-0.20508144890000002,-0.7824784504000001,-0.35454569550000004,-0.2527744328,0.33441959600000004,0.44247998860000004,-0.3464694589
SRX5694400,1.6440886608,-0.8957583694000001,-0.3062884087,-0.1981004934,-1.6562199957,-0.6125086075,-0.2505482308
SRX5694401,1.2814970381,-0.46520850020000004,-0.0252304237,-0.021523506600000002,-0.9106399612,-0.20422094540000002,0.6124656474
SRX5694402,0.032386230200000005,-1.9027115429,0.7271274121,-2.6700349591,-1.9080504914,-0.9583442195,-0.0719270178
SRX5694403,4.8978931024,-0.5633653791000001,-0.903332961,-0.9103162108,-0.9515812199,0.1071730481,0.6540059885
SRX5694404,-1.1116690232,-0.4577927678,0.6936041281,0.0943710534,-1.2671154485,-0.3003964322,0.4711092564
SRX5694405,1.8804714,-0.5244412812,-0.7666040526,-0.1829334597,-0.0163777134,0.2357032725,-0.5450956153000001
SRX5694406,1.3448361428,-0.4069620828,0.2468405504,-0.3972091841,-1.1819124107,0.0693949259,0.2452439907
SRX5694407,4.4004108787,-0.6797229178,-0.4892115863,-0.2638287498,-0.8976499983,0.0371632972,-0.1035126536
SRX5694408,5.002240918,-0.7931955938,-0.129152751,0.0417388443,-0.7905816784,0.0265961863,-0.009095269900000001
SRX5694409,-5.0674881294,-0.7313918552,0.2983443387,-2.2693012292,-0.8527907562,0.3036734732,1.087692968
SRX5694410,2.681043646,0.5205305132,0.12871355610000002,-0.1972134109,1.3728449627,-0.4648872027,-0.3560818886
SRX5694411,8.2777600425,1.2752649621,1.4088048351,-0.8663395759,0.5807675425000001,1.1538115976,1.7535099344
SRX5694412,7.6176349587,-0.8681426453000001,0.08708125080000001,0.1259657223,-1.8941859509,-0.9291934891,0.5170498195000001
SRX5694413,0.7177604723000001,0.0039227364,-0.42460153910000004,-0.6476176532,0.3180122541,-0.570691755,-1.0193472069
SRX5694414,-4.9219120651,0.1272974469,0.9037219768,-1.42088019,0.8686363537,1.6509193769000001,-0.523282682
SRX5694415,-0.4595671805,-1.0048620916,0.35278275610000004,0.007690172800000001,-0.8441132099,-0.1991500789,0.43947406520000004
SRX5694416,0.34608983,-0.0255081624,-0.1301828894,0.0575483496,0.0625105212,0.0154779333,0.0446724711
SRX5694417,0.6152310748,-0.37877042,0.1499766492,0.2665585241,-0.8835196625,0.3500808745,-0.2893820741
SRX5694418,3.3236568619,-0.8464666129,0.8640746426,-1.9463157999,-1.2250992002,-0.0752501554,-0.2117878394
SRX5694419,-1.0436190199,-0.3984785491,-0.014793680600000001,-1.5689931018,-1.2535987095,0.1823640506,-0.3179564891
SRX5694420,-3.6031255232,-0.302497715,-0.0468660871,-0.0638843971,-0.15609256470000002,0.22165850820000002,0.08899595980000001
SRX5694421,5.5034065845,-0.6099977714,0.1322961821,-0.6176702001000001,-0.5219061525,0.3020195341,0.028312995400000002
SRX5694422,6.1622113328,-0.068855287,0.619159111,-0.058214080700000004,-0.6248932219000001,0.097195029,1.3392921219
SRX5694423,-0.21799857800000003,-0.5813589195000001,-0.0780351353,-0.3208467193,-0.8532571789000001,-0.2056130554,-0.9200105722
SRX5694424,7.2235353856,-0.4586027053,-0.5733023752,-0.3043319677,-0.8440673101,-0.3920706658,1.5403945842
SRX5694425,4.5617361577,-0.8332605673,0.3346755523,0.2263080572,-1.6423178196000001,-0.5587581914,0.5704792652
SRX5694426,1.6251278372,-0.7600289733000001,0.6157335293,-0.6604587882,-0.7419004346,0.1130672716,0.1799193872
SRX5694427,2.799471718,-0.3639876078,-0.029816820400000003,0.1652363888,-1.0228097095,0.16881575040000002,0.4667043355
SRX5694428,1.9862040013,-0.6349855048,-0.1057688244,0.073808526,-0.8209870645,-0.6207653771,0.20339786340000002
SRX5694429,7.4237379104,1.262363916,1.4863412037,-1.4421129371,0.5544799185,1.4680549083,1.7636918297
SRX5694430,2.8631089393,-0.5589086929,-0.0200467158,0.0124821121,-0.6908904131,-0.0448960912,0.3315411609
SRX5694431,-1.0845262857,-0.11194467350000001,0.6682181821000001,-0.0624036472,0.11122089040000001,1.2286839221,-0.35813353740000003
SRX5694432,2.2414790554,-0.576840738,0.1093383753,-0.3304413054,-2.1413952496,-0.4490090364,-0.36327625890000004
SRX5694433,-1.0610563192,0.38963961950000003,-0.42024945410000003,-0.8187488844,0.6797201304,-0.7208105544000001,-0.9242360812
SRX5694434,4.0210520361,-0.3241111343,-1.0686406259,-0.6212632720000001,-0.0813581815,0.3947796242,1.1244853324
SRX5694435,0.08132106600000001,-0.25701469,0.2624442987,-2.0377494386,-0.8155494813,0.2956843415,0.2482560155
SRX5694436,-7.5350591163,-1.3601739322,0.1838410419,-2.3919325405,-1.0687696929,0.42789014810000003,0.6052921899
SRX5694437,5.7808370217,-0.0437337862,1.4458719120999999,-0.2507206522,0.3147754193,0.8442368139,1.6927350389
SRX5694438,0.6601988338,-0.8291054388,0.061060066100000004,0.07346573220000001,-0.7102352016,-0.3721850478,0.4568848408
SRX5694439,4.2001015082,-0.51258285,0.8339819837,0.3143882568,-0.8855864517,1.337922803,-0.9789359647
SRX5694440,1.1319173686,-0.37249924100000004,0.2749615761,0.1617989176,-0.3273901919,0.29294730900000004,-0.16993395320000002
SRX5694441,-4.5518156468,-0.230511501,0.1675077619,-0.4081937196,1.1375522752,0.9038915123000001,-0.30292878300000003
SRX5694442,0.057957518300000004,-0.8200548711000001,0.2359552994,-1.7002395932,-0.8341317912,0.3475303811,0.5264198142000001
SRX5694443,-1.5499154660999999,-0.4406184697,-0.1143720156,0.1538530863,-0.7477767726,0.1461081123,0.2397725474
SRX5694444,0.8474117876,-1.0535215027,0.19924687600000002,0.1414549701,-1.2438504318999999,-0.5047931029,0.5519567652
SRX5694445,0.6141449658,-0.6204594402,-0.1930182149,-1.7943494913,-1.3600939619,-0.0963860097,-0.2960727922
SRX5694446,1.2654448616,-1.0780453714,0.021624803,0.2193526747,-1.2032978044,0.0642681642,-0.9535799394000001
SRX5694447,-0.5253280068,-0.2826101176,0.1404174962,-0.3849941899,-1.5183364254,-0.5687338293,0.1879820745
SRX5694448,2.2719519851,0.3674181562,0.7190717129,-0.732440443,0.8265102893,0.3758068667,-0.33462678430000004
SRX5694449,2.6836499837,-0.5328863570000001,-0.106792127,0.1017285234,-0.8085937780000001,-0.0819475583,0.4853458886
SRX5694450,1.6502844266999999,-0.4055443481,-0.5226446066,-0.2163555027,0.6144673881,0.051113270100000004,-1.5466922668
SRX5694451,2.6696009497,-0.6397645289,-0.9448240483,-0.1832599433,-0.7307318690000001,-0.5188799213,0.3364849925
SRX5694452,4.3846437266,0.7842886771,0.3519942873,-0.9702752261,1.0924749437,1.3284796005000001,0.5538937326
SRX5694453,1.6655351196,0.0852071991,-0.3420308308,-0.7029806271,0.6265042858000001,-0.42831274,-0.9333736147
SRX5694454,-0.3806818744,-0.18555417640000002,0.2237971175,0.2689052974,-0.1930641951,0.3853152326,-0.43851679990000003
SRX5694455,-1.5322528125,-0.3648115819,-0.09366302650000001,-1.7485042558,-1.1221989695,0.2002885996,-0.6122638961
SRX5694456,3.1734859759,-0.5856403514,0.1884711132,0.2638014382,-0.8893847205000001,-0.050738027500000005,0.0192414513
SRX5694457,1.0986754542,-0.6155918729000001,0.1897163396,0.1813226141,-1.1343377475,0.2816577342,-0.4865215724
