,A,NtrC,RpoS,ArgR,RpoN
abx_mega__dmso-5__1,0.1310851277,0.2475318243,0.013532579400000001,0.1900290871,0.48399777580000003
abx_mega__rif_dmso__1,0.7164918738,0.8994530527,-0.4507050045,0.6687011066,0.5157631166000001
abx_mega__novo_h2o__1,-2.4079297815,-3.3432007434,-1.3699185348,-1.9989350623000002,-0.47626519900000003
abx_mega__rach_dmso__1,2.8211337278,0.7452309176,0.0290375594,0.22026550490000002,0.2802484757
abx_mega__metro_dmso__1,-1.0490203795,0.1982681888,-0.18024768900000002,0.1051962433,0.5245333254
abx_mega__dmso-6__1,-0.4986514709,0.3183510645,-0.34416743510000003,-0.034011771600000004,0.6253545409
abx_mega__chl_h2o__1,-0.366723927,-2.1655067332,-0.4766743304,-0.36295747370000003,-1.1569223535
abx_mega__cst_h2o__1,0.8942297426,0.5621982431,0.2482267076,-0.0332195354,0.47138731170000003
abx_mega__tec_h2o__1,3.2306615668,0.6286643575,0.022944085000000003,0.9613573160000001,1.1163565781
abx_mega__str_h2o__1,-1.842483439,-1.5043904156,-1.1664088354,1.6385813446,1.0148136427
abx_mega__ctx_h2o__1,1.418657991,0.5145998028000001,0.2455560166,-0.1757073973,0.17737386800000002
abx_mega__nal_naoh__2,0.37379784180000003,0.7579620619,-0.7270261651000001,-0.4169770313,0.29679740990000003
abx_mega__phos_h2o__1,2.3190490227,0.8072916207,0.1246632279,-0.4513131969,0.0454729513
abx_mega__dmso-5__2,0.3001030494,0.2591828654,0.17891339180000002,0.2276200977,0.3122538416
abx_mega__polmyx_h2o__1,0.5187383218,0.5839353238,0.8690290136000001,-0.2786004173,0.2227196066
abx_mega__h2o-8b__1,0.9775591128000001,0.5927965196,0.1019266675,-0.3437768536,0.5063994107
abx_mega__h2o-6__1,-0.013893605000000002,0.16968930270000002,-0.159521414,-0.2480173803,0.3051735166
abx_mega__thio_dmso__1,-1.1585158545,-1.84200958,-0.7117395496000001,-0.3200426361,-0.5165923039
abx_mega__phos_h2o__2,0.44178461280000003,0.452291645,0.2200444192,-0.49734556220000004,0.2233186073
abx_mega__ctx_h2o__2,3.2367468673,1.167500488,-0.24488367700000002,0.0016889905,0.29327006640000003
abx_mega__lzd_dmso__1,-2.7077463465,-2.3275242281,-0.6076757834000001,-0.040309280100000004,-0.4751825277
abx_mega__naoh-9__1,1.300869695,1.0006758113,0.4192586639,-0.290985849,0.7141301084
abx_mega__dox_dmso__1,-2.1457015118,-1.9103520652000001,0.3345453216,-0.34144699710000004,-0.1250149644
abx_mega__phos_ethanol__1,-0.1419283183,0.2878034512,0.9291638342,0.2076746927,0.1832669966
abx_mega__teix_dmso__1,0.7162372059000001,0.1658886605,0.6945469896,-0.008881390500000001,0.24005400300000002
abx_mega__dmso-10__1,-0.2372286035,0.5748562228,0.7728686116,-0.3502541664,0.46972722450000004
abx_mega__van_dmso__1,5.4559651902,-1.6083411718,1.381880559,1.1391178527,-1.4643864076
abx_mega__ramo_h2o__1,3.7512742267,-0.0382251755,0.8471900986,-0.4612621676,0.1260201991
abx_mega__tec_h2o__2,2.4904727147,0.7113152838,0.9445992575000001,-0.3951761429,0.3343991052
abx_mega__h2o-7__1,2.8083816043,1.0524685235,-0.101510944,0.5788442827,0.4390523529
abx_mega__cro_h2o__1,2.3520088914,1.1128885472,-0.39254390580000004,0.0388485992,0.0244285967
abx_mega__tric_ethanol__1,2.9399036893,-1.4604834374,1.6641543512,0.2997925108,0.8885968622
abx_mega__nor_naoh__1,-0.1237011454,0.47983204630000004,-0.6444778476,-0.7844125351,0.0717713583
abx_mega__teix_dmso__2,2.0543218543,0.7510258354,-0.28779240840000003,0.2972308097,0.0577123861
abx_mega__nal_naoh__3,0.6355757752,0.9003964777000001,-0.6870264622000001,-0.2652503171,0.3177105557
abx_mega__novo_h2o__2,-2.1907158331,-3.338719707,-1.3007259393,-1.6198914233,-0.515894651
abx_mega__dmso-10__2,0.5462001833,0.9491077301,0.8062681238,-0.0501388867,0.5026956472
abx_mega__phos_h2o__3,-0.1047463024,0.1817953123,-0.4039469799,-0.1343893817,0.25320663050000003
abx_mega__dmso-6__2,-1.1226926028,-0.3447722508,-0.38068987460000003,0.20309435050000002,0.399044075
abx_mega__rfp_ethanol__1,2.9670822466,0.6331302499,1.1971556762,0.44559000320000003,-0.1980047811
abx_mega__dmso-5__3,0.60226901,0.6431555454,-0.0579672664,0.08753865470000001,0.44623232
abx_mega__amyc-d_dmso__1,0.6794623268000001,-1.9347585843,-1.1718080658,0.3187975715,-1.6569644717
abx_mega__sxt_dmso__1,2.9347421289,1.5539798591,-0.0579887361,0.4218407289,0.3805901292
abx_mega__dmso-1__1,-0.3883110692,-0.0019869059,-0.0090804595,0.15373844450000002,0.1000790257
abx_mega__pen_h2o__1,-0.5981804207,-0.9550975944000001,-0.2858089984,-0.1511790997,-0.6047470268
abx_mega__dmso-10__3,0.9167055498000001,1.2126038991,0.7487499111,-0.2346477129,0.5817327388
abx_mega__nal_naoh__4,2.6330766611,1.0402574125,-0.2880430808,-0.46631842160000003,0.4131544234
abx_mega__cip_naoh__1,2.2011034844,1.1947534586,-0.4022624342,-0.3664711084,0.3139018471
abx_mega__pen_h2o__2,2.055606492,-0.1685040766,-0.102787711,-0.1793531932,-0.4614786729
abx_mega__ery_dmso__2,-0.23632187610000002,-1.8120775748,-0.5464442224,0.1489799943,-0.8711782534
abx_mega__dmso-2__2,-1.220703579,0.010405266,-0.7664779575,1.5501924288,1.6330404249
abx_mega__van_dmso__2,2.9654750413,-2.1384172426,0.9269590489,1.1825516275,-1.4325930877
abx_mega__h2o-1b__1,0.0442919593,-0.1648045381,0.0122038535,-0.311928184,0.049925419000000006
abx_mega__ery_h2o__1,-2.5034256109,-2.412063396,-0.9940082433,-0.5193190371,-0.8530769732
abx_mega__bacit_h2o__1,7.1855655695,-0.45470941260000003,2.0411292587,-0.15828179920000002,0.06588176800000001
abx_mega__chl_h2o__2,-0.6497607202,-2.6598516723,-0.3039589573,-0.4101693502,-1.1962969357
abx_mega__str_h2o__2,-1.8316703342,-2.0377735328,-1.2338569192,2.0288223657,1.1805175986
abx_mega__rfp_ethanol__2,2.6914529439,0.5605361616,1.5108161085,0.6757739267,0.0344397316
abx_mega__polmyx_h2o__2,0.669515595,0.1743075567,0.0882130678,-0.8759227256000001,0.0497336679
abx_mega__tric_h2o__1,-0.0080518919,-0.5895085829,1.863543381,0.7183462618,0.4801215364
abx_mega__cip_naoh__2,-0.1074168769,0.659692881,-0.7670528724,-0.5121201941,0.1248055101
abx_mega__novo_h2o__3,-2.2234883579,-2.2304007271,-1.3988456439,-1.6824643862,-0.3918043912
abx_mega__bacit_dmso__1,0.7435568958000001,-0.41267954160000003,0.1389480637,0.2160795164,0.0971589638
abx_mega__gen_h2o__1,-2.5532520624,-3.4547757927,0.6382039402,1.7140744410000002,0.3781390592
abx_mega__bacit_dmso__2,1.0769666147999999,-0.41661073070000004,0.6371311275,0.0065176589,-0.0185690991
abx_mega__chl_dmso__1,1.7118688807,-2.7255018573000003,0.5891552134,0.1269063832,-0.2968713899
abx_mega__bacit_h2o__2,3.115909632,-0.7897777941,1.1364192666,-0.12209469440000001,-0.2798995233
abx_mega__lvx_dmso__1,2.8035160197,1.2566566301,-0.1227754323,0.3807995192,0.2366626578
abx_mega__bacit_h2o__3,5.9817337248,-0.5078540578,1.842083342,-0.08447442470000001,0.1175635035
abx_mega__nor_naoh__2,0.0943446136,0.606263977,-0.3056609431,-0.791441825,0.0778313483
abx_mega__amyc-d_dmso__2,-0.696372298,-1.3331478933,-0.36055310500000004,0.7167320923,-0.482735487
abx_mega__polmyx_h2o__3,0.5228161792,0.7162399768000001,-0.7452061929,1.1751549561,1.1987243344
abx_mega__naoh-6__1,-0.9735756667000001,0.1946706988,-0.19376253370000002,-0.0473290579,0.3867353197
abx_mega__cst_h2o__2,0.8650100346,0.3218313478,-0.1069060403,-0.3096924813,-0.0592366311
abx_mega__h2o-1b__2,0.8090080054000001,0.6806147585,0.1476735541,-0.5632048228000001,0.361309818
abx_mega__rfp_h2o__1,1.0902113551000001,-0.4144742954,0.2184687528,0.2005178448,0.1986005924
abx_mega__tet_h2o__1,-2.7668396142000002,-3.0723857148000002,-0.3321838082,-0.15178060840000002,-1.1852549083
abx_mega__flavo_dmso__1,1.6284041048,0.3983723062,1.1410073011,0.11170401190000001,0.31348030800000004
abx_mega__zeocin_h2o__1,0.1565250233,0.8860046028,0.5042714405000001,-0.1880702195,0.1895157472
abx_mega__nor_naoh__3,0.2671178162,0.4438108868,-0.7028224034,-0.789797488,0.0003915057
abx_mega__rach_dmso__2,1.9390312751,1.4912068385000001,-0.3897788184,0.7778158108000001,0.7509322677
abx_mega__thio_dmso__2,-1.5991989311,-3.1161678707,0.6749000182,-0.2367394311,-1.2288856103999999
abx_mega__amyc-d_dmso__3,-1.5592539362,-2.1655086748,-1.0340379245,0.6341918942,-2.0587907643
abx_mega__rif_dmso__2,0.2374153891,0.3941810271,-0.5313228746,0.1096063387,0.5754528234
abx_mega__amyc-d_dmso__4,-1.4350234384,-1.325842167,-0.3395083618,0.1923868785,-0.5423701563000001
abx_mega__teix_dmso__3,0.6026410023000001,-0.0611737684,-0.0744392624,-0.1178705679,-0.0655542478
abx_mega__valin_dmso__1,1.6099961089,0.2110730023,-0.17103448070000002,0.0583027355,-0.43426283600000004
abx_mega__teix_dmso__4,0.6807731119,0.5280943687,-0.3425261498,0.0331448763,0.27130681500000003
abx_mega__ethanol-10__1,-1.638589821,0.8465819548,0.7875061899,0.1606146014,0.40267153240000003
abx_mega__inh_h2o__1,1.2773486136,0.8234940753000001,0.12003723670000001,-0.2603505538,0.0766455533
abx_mega__rif_dmso__3,-0.9828052221,0.7597553231,-0.7659405174,0.6298231310000001,0.5938319508000001
abx_mega__van_dmso__3,2.485957672,-1.9352808826,0.7263733076000001,0.557409307,-0.6893900788
abx_mega__doxo_dmso__1,0.4260042472,1.5388899106,-0.6013224671,-0.1268373082,0.3216071352
abx_mega__tmp_dmso__1,2.5232723173,0.7038846178,-0.8785134040000001,-0.543615127,0.1661161452
abx_mega__ethanol-10__2,0.0121856483,0.8158469796000001,0.7901452873,-0.3176808927,0.1536875017
abx_mega__tmp_dmso__2,2.2858970388,0.5673388314,-1.0691180943,-0.5780173683000001,0.1318068886
abx_mega__amyc-d_dmso__5,-3.1969003229,-2.8154013045,-1.224876475,0.6766792793,-2.0873112251
abx_mega__novo_h2o__4,-4.0245349905,-1.8847473219,-0.8674783247000001,-0.6566205223,0.13625533880000001
abx_mega__cro_h2o__2,4.469312372,0.9755109533,-0.5275191918000001,-0.017438494000000002,0.1035761797
abx_mega__cro_h2o__3,2.1865434309,0.608860649,-0.5277439766,-0.5652235872,0.0686106756
abx_mega__gen_h2o__2,-3.3894916676999998,-3.4961042582,0.5715646187,1.9621189231,0.7751869361
abx_mega__phos_h2o__4,0.9177147809,0.36321162020000003,-0.4801473545,1.2138005996,1.2666739765
abx_mega__metro_dmso__2,-0.1709857665,0.3558781377,-0.2058316979,-0.12910519040000001,0.8183508658
abx_mega__ery_h2o__2,-1.0429901164,-3.4174884121,-0.4031858943,-0.3803293647,-0.602350214
abx_mega__sacet_h2o__1,-2.7912767831,-2.1702108467,0.5258567861,1.3058942915,1.8751403472
abx_mega__nal_naoh__5,0.48727605830000004,0.9785858232,-1.0791491496,-0.5127771752,0.1431744405
abx_mega__bacit_h2o__4,3.0277877123,-1.2971225591,1.1625349641,-0.0720828062,-0.25559654600000004
abx_mega__cip_naoh__3,2.9696150711,1.0610354219,-0.3946522053,-0.176206455,0.32443566830000004
abx_mega__ethanol-8__1,2.2264308904,1.2342028638,0.0892968809,-0.2247742691,0.3540685267
abx_mega__h2o-8a__1,4.4421157875,-0.7110558445,0.3895898545,-0.4444687908,0.3335097184
abx_mega__ery_h2o__3,-2.7669979961999998,-2.6543720815,-0.9798657269000001,-0.1767281004,-0.7729734864000001
abx_mega__flavo_dmso__2,2.7820094724,1.7278237979000002,-0.3558929129,0.0323636967,0.3623249183
abx_mega__rif_dmso__4,0.42158318770000003,1.3057669353999999,-0.3203433341,0.2125138953,0.4264630231
abx_mega__novo_h2o__5,-2.2114398808,-2.044001909,-1.8907045999,-1.178492798,-0.5119814499
abx_mega__teix_dmso__5,1.0997164752,0.7644960383,0.5235856839,-0.39499873100000005,0.3829448741
abx_mega__naoh-2__1,-2.9989847812,0.1932857352,-0.6960164566,0.865195021,1.2563867105
abx_mega__novo_h2o__6,-3.1143260171,-1.6267050395,-1.5270626442,-0.8542351032000001,-0.40610684150000004
abx_mega__ctx_h2o__3,0.8389917558000001,0.5271070502,-0.4634139386,-0.45899308910000003,0.2070871461
abx_mega__rach_dmso__3,1.2297461975,1.2238124148,-0.5227460333,0.17465804140000002,0.8095988900000001
abx_mega__valin_dmso__2,0.9485248671000001,0.49283146790000004,-0.6079369570000001,0.25468408400000003,-0.3638890656
abx_mega__amyc-d_dmso__6,-1.4813344688,-3.4475170041,-0.5831907388,1.2556828550999999,-1.7587812473
abx_mega__dox_dmso__2,0.20676222230000002,0.0798844353,-0.5897015176,-0.2973678521,-0.0236915871
abx_mega__teix_dmso__6,1.7618823235,0.8839951991,0.33302975900000004,-0.0730893153,0.2270913317
abx_mega__naoh-6__2,-0.9006661744000001,0.1594231117,-0.17128217310000002,-0.27134470180000003,0.390126913
abx_mega__inh_h2o__2,-5.1472524505,-0.6466199711,0.6983107852,1.1282616287,0.5741467445
abx_mega__chl_h2o__3,0.8943580896000001,-2.791577442,-0.047770770600000005,-0.061174284100000004,-0.8383837954000001
abx_mega__nal_naoh__6,0.8946018863,0.8574331826,-0.7783978846,-0.3583695699,0.1949048065
abx_mega__chl_dmso__2,0.40136597620000003,-2.8763725773,0.5795485447000001,0.2970029822,-0.2965190891
abx_mega__rach_dmso__4,2.6025085396,1.6672908383,-0.4604892508,0.3322929899,0.9072279491
abx_mega__teix_dmso__7,0.889384943,0.9766484320000001,0.5469985911,-0.2204222795,0.4760578098
abx_mega__ceru_ethanol__1,0.328247918,0.2703595526,1.9391797668000001,0.3702952198,0.5942382494
abx_mega__dmso-7__1,0.5499484942,0.8984270429000001,-0.18206983540000002,0.3559118598,0.5502041329
abx_mega__naoh-6__3,-0.8359422654,0.0381877943,-0.2625622673,-0.0492054892,0.3985351669
abx_mega__phos_ethanol__2,0.3454812196,0.5314502275,0.6362886964000001,-0.1605998124,0.4755069677
abx_mega__metro_dmso__3,-0.9771057846000001,0.248324912,-0.24292153970000002,-0.0275705127,0.7593384199000001
abx_mega__van_dmso__4,1.682360233,-2.5009942746,0.6048608691,0.9074626352,-0.9437514518000001
abx_mega__h2o-10__1,3.6026400435,-0.0108108417,0.7306458363,-0.34695274270000004,-0.0088024738
abx_mega__h2o-10__2,1.4334720514,0.5010193781,0.47634399800000005,-0.0993456892,0.11731256200000001
abx_mega__dmso-6__3,-0.5584365913,-0.0774997442,-0.3464694589,-0.0343215247,0.4245258925
abx_mega__mem_dmso__1,2.9165634098,1.0831287239,-0.2505482308,-0.3204641914,0.0221495772
abx_mega__ethanol-8__2,-0.7402464681,0.2436000458,0.6124656474,-0.5536481077000001,0.1553514222
abx_mega__chl_h2o__4,2.6538787192,-2.503028853,-0.0719270178,-0.0805815042,-0.9067002987
abx_mega__van_h2o__1,3.0220676096,-0.8480378709,0.6540059885,0.27930970720000003,-0.7663768052000001
abx_mega__dcs_h2o__1,1.3253083287,1.1620946653,0.4711092564,0.2356520288,0.34302064460000004
abx_mega__rif_dmso__5,-0.7648827944000001,0.472870536,-0.5450956153000001,0.275764761,0.5641164744
abx_mega__dox_dmso__3,0.7585839350000001,0.502871799,0.2452439907,0.4809981323,0.3852142324
abx_mega__mem_dmso__2,0.5687743813,0.16761237880000002,-0.1035126536,0.3092722491,-0.0143963799
abx_mega__lvx_dmso__2,2.8876364336,1.1174661428000001,-0.009095269900000001,-0.1369530387,0.2120925827
abx_mega__tet_h2o__2,-0.48718375270000003,-2.3529732707,1.087692968,-0.4011385912,-0.0535992765
abx_mega__phos_h2o__5,-0.7572301643,0.6604570749,-0.3560818886,1.1925845616,1.1368348911
abx_mega__monac_dmso__1,6.7767090192,-0.9140758032,1.7535099344,1.2678152553,0.2581631515
abx_mega__str_h2o__3,3.2074192426,1.160680071,0.5170498195000001,-0.5676033857,0.2098929226
abx_mega__zeocin_h2o__2,2.1556500176,0.9155224142,-1.0193472069,0.587979534,0.716158543
abx_mega__amyc-d_dmso__7,-2.9424435045,-3.2135173143,-0.523282682,1.1528187451,-1.8195500993
abx_mega__fidax_dmso__1,1.0185897581,1.2529624648,0.43947406520000004,-0.5267389828,0.3895025579
abx_mega__h2o-1a__1,0.192884633,-0.0651090626,0.0446724711,0.1510924266,-0.014744452600000001
abx_mega__dox_dmso__4,-0.0381481215,0.28595485670000004,-0.2893820741,-0.1936671666,0.2542183783
abx_mega__lzd_dmso__2,-1.7281404710000001,-2.7814709471,-0.2117878394,-0.0964931641,-0.8593610486000001
abx_mega__tet_h2o__3,-1.8225539184000001,-3.0439530532,-0.3179564891,-0.37037392350000004,-0.9487100239
abx_mega__dmso-1__2,0.0201552162,0.1592095076,0.08899595980000001,0.2789726771,0.3007382105
abx_mega__sxt_dmso__2,2.4149800895,0.47564466190000004,0.028312995400000002,-0.027626975800000002,-0.1313019466
abx_mega__tric_ethanol__2,1.3597031213,-0.6009650972,1.3392921219,0.0233681412,0.6589152801
abx_mega__teix_dmso__8,0.4259956112,0.9223197388000001,-0.9200105722,0.38911204200000005,-0.3706064465
abx_mega__ramo_h2o__2,2.5191092234,0.2019900393,1.5403945842,-0.2875160788,0.0097559328
abx_mega__inh_h2o__3,0.09685939910000001,0.7891508463,0.5704792652,-0.7328255253,0.4438443918
abx_mega__cst_h2o__3,1.4103156829,0.9938148375,0.1799193872,-0.7662018206000001,0.093635272
abx_mega__dmso-9__1,2.339974649,0.9961908775,0.4667043355,-0.2220031036,0.5502023702000001
abx_mega__ethanol-8__3,-1.2939328153,0.3554034499,0.20339786340000002,-0.5030481316000001,0.23941242100000001
abx_mega__monac_dmso__2,5.6475597943,-1.9347766166,1.7636918297,1.9199126784,-0.7440725934
abx_mega__dmso-9__2,1.9863908288,0.943356705,0.3315411609,-0.29759092130000003,0.4683853437
abx_mega__metro_dmso__4,-0.3249468217,-0.2883033282,-0.35813353740000003,0.4086579641,0.5657900501
abx_mega__ctx_h2o__4,0.5895676125,1.0043947285,-0.36327625890000004,-0.0605921834,0.1570129421
abx_mega__zeocin_h2o__3,1.4480302439,0.6699098908000001,-0.9242360812,1.2174182694,0.7747464813
abx_mega__bacit_h2o__5,3.1892858854,-0.4014546818,1.1244853324,0.0514448458,-0.2931713245
abx_mega__reta_dmso__1,-0.5903632998,-2.6474404621,0.2482560155,-0.1344811048,-0.5449878411
abx_mega__ery_h2o__4,-0.8143592486,-2.3160654733,0.6052921899,-0.2545413235,0.0784509131
abx_mega__ceru_ethanol__2,2.6378256017,-1.6219920444,1.6927350389,0.27019308940000003,0.7547704340000001
abx_mega__fidax_dmso__2,1.0373198127,1.0283268505,0.4568848408,-0.46813905380000004,0.3536250526
abx_mega__novo_dmso__1,-2.3233356385,-2.4767130984,-0.9789359647,-0.4526172457,0.8746578005000001
abx_mega__naoh-6__4,-0.41701801390000004,0.2880382232,-0.16993395320000002,-0.2775480219,0.29936246310000003
abx_mega__amyc-d_dmso__8,-0.674126686,-1.0951706122,-0.30292878300000003,0.4769144138,-0.4710809825
abx_mega__chl_dmso__3,0.8166039770000001,-2.6178635483,0.5264198142000001,0.162820502,-0.326672564
abx_mega__nal_naoh__7,3.3388580324,0.7673078600000001,0.2397725474,-0.14930856,0.3962943741
abx_mega__teix_dmso__9,2.0062957539,1.2513026087,0.5519567652,-0.06603368920000001,0.37532094790000003
abx_mega__ery_dmso__3,1.3621523398,-2.9605830402,-0.2960727922,0.017189552900000002,-0.6216938097
abx_mega__tmp_dmso__3,2.9735987197,0.6949600687,-0.9535799394000001,-0.5830801553,0.13931253130000001
abx_mega__sxt_dmso__3,1.4580728517,1.6785553497999999,0.1879820745,0.5938647686,0.558718774
abx_mega__polmyx_h2o__4,0.6355748405,0.9260596802000001,-0.33462678430000004,0.5386827159,0.9320456988
abx_mega__mem_dmso__3,2.273585217,0.6772167910000001,0.4853458886,-0.3957315583,0.3979415361
abx_mega__nal_naoh__8,2.4454396351,0.6521527766,-1.5466922668,0.8188616743,0.9156218947
abx_mega__pen_h2o__3,0.9997000201,0.4547579678,0.3364849925,-0.5982587581000001,0.0770701456
abx_mega__van_dmso__5,2.6654421517999998,-2.3972696692,0.5538937326,0.6264964359,-0.9236914394
abx_mega__zeocin_h2o__4,0.9942230245,0.9653349661,-0.9333736147,0.7397703857,0.8473467504000001
abx_mega__h2o-6__2,-1.352819143,-0.056926939100000004,-0.43851679990000003,-0.1530154322,0.3170738315
abx_mega__tet_h2o__4,-3.6867627679,-2.2800449401,-0.6122638961,-0.38501857170000003,-1.1251574594
abx_mega__nor_naoh__4,0.9573059461000001,0.9241257433000001,0.0192414513,-0.4211499664,0.39791129080000004
abx_mega__cip_naoh__4,-0.2526428553,0.6072635184,-0.4865215724,-0.5338833539,0.3648318555
abx_mega__tmp_dmso__4,1.0073741043,0.4523273841,-0.7272492188,-0.69719843,0.5319673363
abx_mega__reta_dmso__2,-0.9307327508000001,-2.0350001293,-0.1476290305,0.1471012015,-0.775060662
abx_mega__mem_dmso__4,2.7565193161,1.2274810933,-0.46360405250000003,0.2387326189,0.3689014584
abx_mega__dox_dmso__5,-1.9710664266000002,-2.0929367115,0.4989539183,-0.166934394,0.0294679464
abx_mega__tmp_dmso__5,4.9211504273,1.2801613490000001,0.3705406573,-0.1028110399,0.4541069357
abx_mega__flavo_dmso__3,1.9756397472,1.5107417383000001,-0.1438542033,0.1612652615,0.4279902372
abx_mega__tmp_dmso__6,5.1824028426,0.6617190340000001,-0.5194117031000001,-0.2071352206,0.3348146301
abx_mega__ceru_ethanol__3,3.8489370192,-1.0832415185,2.0305828611,-0.1919659652,0.8618926901
abx_mega__teix_dmso__10,-0.12336322570000001,0.3706546835,-0.4654391383,-0.2273463373,0.0201267037
abx_mega__novo_h2o__7,-3.1231424159,-2.3043944032,-1.4261023225,-1.3121959949,-0.16178331940000001
abx_mega__fidax_dmso__3,3.1799396855,1.1423035575,0.3766098639,-0.44217427730000003,0.37991272070000004
abx_mega__h2o-1a__2,-0.8370351127000001,-0.103052347,-0.1364564022,0.0488971666,-0.037277264500000004
abx_mega__dcs_h2o__2,2.5868090642,0.7289220240000001,0.1286029695,-0.2288097446,0.3548311478
abx_mega__cst_h2o__4,1.0074677308,0.6116949292,-0.0696890087,-0.2843704563,0.1030718915
abx_mega__van_h2o__2,3.2762195243,0.4839489173,0.9030849996,-0.4020723631,-0.0312494943
abx_mega__pen_h2o__4,4.7905700015,1.2417632063,0.38838182590000003,0.0096768986,0.4373284991
abx_mega__h2o-8b__2,0.1631092008,0.6275051285000001,-0.0550770701,-0.1102720841,0.48419750240000003
abx_mega__reta_dmso__3,-0.9560551482,-1.9812978282,-0.6307641964,0.4185342487,-0.7107889245
abx_mega__dmso-7__2,-0.7494582973,1.2842019433,-0.2597921773,0.25384347090000003,0.8456941073
abx_mega__rfp_h2o__2,1.4186251364,-0.3194289869,-0.1763272148,0.1488487423,0.344381459
abx_mega__rif_dmso__6,0.8846505958,0.30530008340000003,-0.1529290586,0.5955722508,0.5506100709
abx_mega__sxt_dmso__4,2.8535320026,1.896173609,0.2706568916,0.3902473677,0.5508957859
abx_mega__cip_naoh__5,-0.1557466407,0.8404006509,-0.8203963424,-0.4777904719,0.0168630616
abx_mega__dmso-9__3,3.5781748333,1.0384592663,0.1585795959,-0.023104865500000002,0.39087303290000003
abx_mega__mem_dmso__5,1.5636176622,1.0970142346,-0.1142251222,-0.3672962614,0.0445700484
abx_mega__tric_h2o__2,-0.11129239020000001,-0.3539751082,1.8143817081,0.32582426470000003,0.7730122446000001
abx_mega__phos_h2o__6,-0.9828569057000001,-0.0899711735,-0.4731728442,-0.5115770131,0.2524576478
abx_mega__h2o-7__2,3.0201203401,0.9999063232000001,0.0620097399,0.0028949996000000003,0.4396618196
abx_mega__h2o-10__3,0.6007659642000001,0.5997875479,0.3949410132,-0.056496550400000005,0.0991312743
abx_mega__h2o-8a__2,4.9870978067,-0.9243199659,0.3263541776,-0.5077509789,0.2002313933
abx_mega__thio_dmso__3,-0.9422316392000001,-1.505577599,-0.7083059624,-0.45516483700000004,-0.30735370970000003
abx_mega__lzd_dmso__3,-3.3041136682,-2.1694297046,-0.851641096,-0.07169260470000001,-0.5015458618
abx_mega__monac_dmso__3,4.7490173092,-2.4107037053,1.4811790611,0.4584972248,-0.9672754863
abx_mega__polmyx_h2o__5,1.2521142081,1.0313762696,1.1931153627,-0.2986680223,0.5316735566
abx_mega__naoh-6__5,-0.0046176298,0.1493018328,0.223645429,-0.1428299751,0.4761598155
abx_mega__teix_dmso__11,0.5900545653,0.0889413183,-0.5212448198,-0.2143324393,0.0169839429
